comparison_set_id,sample_id,category,source_dataset,asset_role,display_label,provider,model_id,protocol_id,generation_method,visual_feedback,effort,revision_policy,run_id,source_artifact,source_artifact_sha256,pdf_path,pdf_sha256,pdf_bytes,page_count,page_canvas_sizes_pt,pdf_producer,pdf_creator,response_id,attempts,run_cost_usd,harness_num_turns,harness_score_runs,pdf_open_status,fair_leaderboard_eligible
overlap_05_tables_simple_023,05_tables_simple_023,05_tables_simple,piushorn/arxiv-latex-tables-43k,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=2,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,2575f291baa83f2c827e58810fd2f685847013ab87f67e1dbf7ac6c67f95be11,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,2575f291baa83f2c827e58810fd2f685847013ab87f67e1dbf7ac6c67f95be11,126316,2,595.276x841.890|595.276x841.890,,Typst 0.14.2,gen-1783945648-SF2DU24456UBAevNWs5W,2,0.00913,,,ok,false
overlap_05_tables_simple_023,05_tables_simple_023,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_sonnet,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,05_tables_simple_023__visual__sonnet__qlow,harness/runs/05_tables_simple_023__visual__sonnet__qlow/work/output.typ,ae485d78ea4796578be0936dbb0812cd9ea3e8b287754d7e09f75ee606db47b2,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_023/claude-sonnet-4-6.pdf,5ca464177048b68302453884c0426f8045f6053b490b8c6cd45457b128cba9a6,158482,3,612.000x792.000|612.000x792.000|612.000x792.000,,Typst 0.14.2,,,2.6949958,80,23,ok,false
overlap_05_tables_simple_023,05_tables_simple_023,05_tables_simple,piushorn/arxiv-latex-tables-43k,claude_opus,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,05_tables_simple_023__visual__opus__v3run_v3,harness/runs/05_tables_simple_023__visual__opus__v3run_v3/best_checkpoint.typ,245a0854d9a153debc08041b6c7604dc4b8f025e6b9053a8a687ff58f6ad0c11,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_023/claude-opus-4-7.pdf,a896d3aa12f540733c8de250da31d3afe70179f41be7a4f343fd5ebb7b2cc841,142275,3,612.000x792.000|612.000x792.000|612.000x792.000,,Typst 0.14.2,,,1.44313525,33,9,ok,false
overlap_06_tables_moderate_010,06_tables_moderate_010,06_tables_moderate,piushorn/arxiv-latex-tables-43k,reference,LaTeX benchmark reference,latex_benchmark_v0,,reference_compiled_pdf,source-backed LaTeX reference compiled during dataset build,not applicable,not applicable,not recorded,latex_benchmark_v0,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_010/main.tex,61f98da949930984514a1b0b713262b425f687c46b629ee0ab7de544d486f138,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_010/reference.pdf,9e76ec6e442a096ff786f082fed65752f35f9d32af7c50ad5bad12aa87997ab6,116150,2,612.000x792.000|612.000x792.000,pdfTeX-1.40.29,TeX,,,,,,ok,false
overlap_06_tables_moderate_010,06_tables_moderate_010,06_tables_moderate,piushorn/arxiv-latex-tables-43k,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v1 targeted retry; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/06_tables_moderate_010/output.pdf,687406b40a9d5c17521693ef3f8b7f49692588759650b1f98fc257cbbca70ca4,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/06_tables_moderate_010/output.pdf,687406b40a9d5c17521693ef3f8b7f49692588759650b1f98fc257cbbca70ca4,145956,3,595.276x841.890|595.276x841.890|595.276x841.890,,Typst 0.14.2,gen-1783946580-WgX7t7UeKxXy53TVR4ET,1,0.004789,,,ok,false
overlap_06_tables_moderate_010,06_tables_moderate_010,06_tables_moderate,piushorn/arxiv-latex-tables-43k,claude_sonnet,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,06_tables_moderate_010__visual__sonnet__qlow,harness/runs/06_tables_moderate_010__visual__sonnet__qlow/work/output.typ,78b5259545e1ea01129d2afc0aed3ac5b9db60b2eafabd8caa987d88d8967804,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/06_tables_moderate_010/claude-sonnet-4-6.pdf,614059f6c671dd7197c2e7a43bcb1afc82fb213b76d4a52c5d101bd7a7f1de18,117250,2,612.000x792.000|612.000x792.000,,Typst 0.14.2,,,1.8645055,58,19,ok,false
overlap_06_tables_moderate_010,06_tables_moderate_010,06_tables_moderate,piushorn/arxiv-latex-tables-43k,claude_opus,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,06_tables_moderate_010__visual__opus__v3run_v3,harness/runs/06_tables_moderate_010__visual__opus__v3run_v3/best_checkpoint.typ,186b19a589dcdfd278caab70fd2dd6e32b8600c88599a934e215cb73d60009f3,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/06_tables_moderate_010/claude-opus-4-7.pdf,fbb4c3d6990dc7a263d0593d1cdd0eaac796eae88872d65be440ed2feac16896,148447,2,612.000x792.000|612.000x792.000,,Typst 0.14.2,,,0.65879775,15,4,ok,false
overlap_07_figures_captions_007,07_figures_captions_007,07_figures_captions,scholarweave/arxiv-latex,reference,LaTeX benchmark reference,latex_benchmark_v0,,reference_compiled_pdf,source-backed LaTeX reference compiled during dataset build,not applicable,not applicable,not recorded,latex_benchmark_v0,data/latex_benchmark_v0/corpus/07_figures_captions/07_figures_captions_007/main.tex,967e00dad7fe039524cce17da58f4446508b0b629c1d0a8e52a7a2646ca71eb1,data/latex_benchmark_v0/corpus/07_figures_captions/07_figures_captions_007/reference.pdf,a32def9a5895a27f7204b748cbd9689a4571afaae9edafdb953e6aca7337b59b,66747,1,612.000x792.000,pdfTeX-1.40.29,LaTeX with hyperref,,,,,,ok,false
overlap_07_figures_captions_007,07_figures_captions_007,07_figures_captions,scholarweave/arxiv-latex,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v0; attempts=2,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/07_figures_captions_007/output.pdf,4af623c5818746340e7005b9156e507f07ddab8049d7b73be4b28c1019239a96,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/07_figures_captions_007/output.pdf,4af623c5818746340e7005b9156e507f07ddab8049d7b73be4b28c1019239a96,30048,1,595.276x841.890,,Typst 0.14.2,gen-1783945753-V6GRmGdvtqGeUHFLksAw,2,0.00151075,,,ok,false
overlap_07_figures_captions_007,07_figures_captions_007,07_figures_captions,scholarweave/arxiv-latex,claude_sonnet,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,07_figures_captions_007__visual__sonnet__qlow,harness/runs/07_figures_captions_007__visual__sonnet__qlow/work/output.typ,362e25c8eb6a4b08ca166bfb8afe65846eefd0b24eede8dfb6174748db90c02b,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/07_figures_captions_007/claude-sonnet-4-6.pdf,4dccf8123bcb5c7abf98c0a6f89005d5731489f834c0ffee61334d8bc1ac6750,18884,1,612.000x792.000,,Typst 0.14.2,,,2.1653952999999992,80,29,ok,false
overlap_07_figures_captions_007,07_figures_captions_007,07_figures_captions,scholarweave/arxiv-latex,claude_opus,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,07_figures_captions_007__visual__opus__v3run_v3,harness/runs/07_figures_captions_007__visual__opus__v3run_v3/best_checkpoint.typ,b6b87a2d94c4cfa410db12954ee2139bb4e91479fb5a1316c1a7a7fbaade724b,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/07_figures_captions_007/claude-opus-4-7.pdf,ce39e593c7ec315d9feb00f80dabfcc2cfb0a81b1f3de4708c88a15066cf2481,18571,1,612.000x792.000,,Typst 0.14.2,,,0.6024755,18,5,ok,false
overlap_09_algorithms_003,09_algorithms_003,09_algorithms,stanford-crfm/image2struct-latex-v1,reference,LaTeX benchmark reference,latex_benchmark_v0,,reference_compiled_pdf,source-backed LaTeX reference compiled during dataset build,not applicable,not applicable,not recorded,latex_benchmark_v0,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/main.tex,2b4013839e99c9959e13dc07c370b55ce05cfc5c6230dd263deb11111ec6c9b5,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,740e3bbefecce75041e84dbed6a22e41eb51885bdf9a194b9e224a05ed43dac9,182668,2,612.000x792.000|612.000x792.000,pdfTeX-1.40.29,TeX,,,,,,ok,false
overlap_09_algorithms_003,09_algorithms_003,09_algorithms,stanford-crfm/image2struct-latex-v1,gemini,Gemini 3.1 Flash Lite - one-turn cascade,OpenRouter,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,stored prompt-stage cascade; selected compiled stage,none,not exposed,prompt v1 targeted retry; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/09_algorithms_003/output.pdf,d60034eed1d7e22215b9c689d77bc8a5ea472a31702bcdddf304518f93307a97,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/09_algorithms_003/output.pdf,d60034eed1d7e22215b9c689d77bc8a5ea472a31702bcdddf304518f93307a97,36282,1,595.276x841.890,,Typst 0.14.2,gen-1783946617-JQb5i3MCuO2jGXXFnceY,1,0.0020165,,,ok,false
overlap_09_algorithms_003,09_algorithms_003,09_algorithms,stanford-crfm/image2struct-latex-v1,claude_sonnet,Claude Sonnet 4.6 - agentic v1 visual low,Anthropic via Claude Code harness,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,agentic v1 compile-score-revise loop,reference and candidate page images,low,v1 loop,09_algorithms_003__visual__sonnet__qlow,harness/runs/09_algorithms_003__visual__sonnet__qlow/work/output.typ,f22256647c3c6bf80ebc53a79705115a5ea0c83dc961966f799ee9bd72b76e69,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/09_algorithms_003/claude-sonnet-4-6.pdf,babcab860cc2df658547fa2e73333a4ec2b8281b9dbaae8ec6c35f57fedc7e47,48508,2,612.000x792.000|612.000x792.000,,Typst 0.14.2,,,2.1788342500000004,78,25,ok,false
overlap_09_algorithms_003,09_algorithms_003,09_algorithms,stanford-crfm/image2struct-latex-v1,claude_opus,Claude Opus 4.7 - agentic v3 visual medium,Anthropic via Claude Code harness,claude-opus-4-7,opus_agentic_v3_visual_medium,agentic v3 compile-score-revise loop,reference and candidate page images,medium,v3 loop,09_algorithms_003__visual__opus__v3run_v3,harness/runs/09_algorithms_003__visual__opus__v3run_v3/best_checkpoint.typ,088cf45ec4a9fc1dcd03194e2324b082546cd3456cc60569a2153d7d360adb67,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/09_algorithms_003/claude-opus-4-7.pdf,cb5f12d4a00bb7630639dc3192b4f7f881064f0d403e33c74b262ecfdfce4690,45123,2,612.000x792.000|612.000x792.000,,Typst 0.14.2,,,0.58773325,16,4,ok,false
