report_page,blind_id,sample_id,display_label,protocol_id,state,manual_overall,cv_grade,reference_pdf,candidate_pdf,box_missing,box_extra
27,B-EE254,05_tables_simple_021,Claude Opus 4.7 - agentic v3 visual medium,opus_agentic_v3_visual_medium,ok,3,3.0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_021/claude-opus-4-7.pdf,143,281
28,B-2B48D,05_tables_simple_023,Claude Opus 4.7 - agentic v3 visual medium,opus_agentic_v3_visual_medium,ok,3,2.0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_023/claude-opus-4-7.pdf,19,86
29,B-3EF85,05_tables_simple_023,Claude Sonnet 4.6 - agentic v1 visual low,sonnet_agentic_v1_visual_low,ok,3,2.0,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/05_tables_simple_023/claude-sonnet-4-6.pdf,4,68
30,B-DD2B3,05_tables_simple_023,Gemini 3.1 Flash Lite - one-turn cascade,gemini_prompt_stage_cascade,ok,2,1.133070231921456,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,55,118
31,B-44FC0,06_tables_moderate_010,Gemini 3.1 Flash Lite - one-turn cascade,gemini_prompt_stage_cascade,ok,1,1.0,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_010/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/06_tables_moderate_010/output.pdf,83,53
32,B-6DCD7,06_tables_moderate_010,Claude Sonnet 4.6 - agentic v1 visual low,sonnet_agentic_v1_visual_low,ok,3,2.9878953266155373,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_010/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/06_tables_moderate_010/claude-sonnet-4-6.pdf,7,4
33,B-BE700,06_tables_moderate_010,Claude Opus 4.7 - agentic v3 visual medium,opus_agentic_v3_visual_medium,ok,4,4.0,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_010/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/06_tables_moderate_010/claude-opus-4-7.pdf,6,8
34,B-22DDF,07_figures_captions_007,Gemini 3.1 Flash Lite - one-turn cascade,gemini_prompt_stage_cascade,ok,2,2.2775860778866273,data/latex_benchmark_v0/corpus/07_figures_captions/07_figures_captions_007/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/07_figures_captions_007/output.pdf,15,21
35,B-A63D1,07_figures_captions_007,Claude Opus 4.7 - agentic v3 visual medium,opus_agentic_v3_visual_medium,ok,4,4.0,data/latex_benchmark_v0/corpus/07_figures_captions/07_figures_captions_007/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/07_figures_captions_007/claude-opus-4-7.pdf,5,5
36,B-AA869,07_figures_captions_007,Claude Sonnet 4.6 - agentic v1 visual low,sonnet_agentic_v1_visual_low,ok,3,3.8515942047362097,data/latex_benchmark_v0/corpus/07_figures_captions/07_figures_captions_007/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/07_figures_captions_007/claude-sonnet-4-6.pdf,5,5
37,B-027FF,09_algorithms_003,Claude Opus 4.7 - agentic v3 visual medium,opus_agentic_v3_visual_medium,ok,4,4.0,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/09_algorithms_003/claude-opus-4-7.pdf,24,12
38,B-71DDC,09_algorithms_003,Claude Sonnet 4.6 - agentic v1 visual low,sonnet_agentic_v1_visual_low,ok,3,3.0,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,results/metric_calibration/canonical_ai_v0_3/compiled/canonical/09_algorithms_003/claude-sonnet-4-6.pdf,22,11
39,B-B26D0,09_algorithms_003,Gemini 3.1 Flash Lite - one-turn cascade,gemini_prompt_stage_cascade,ok,2,2.0,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/09_algorithms_003/output.pdf,68,8
