section,sample_id,candidate,label,state,status,source_artifact,embedded_pdf,embedded_pages,report_page
current canonical hard set,04_math_aligned_014,typetex,TypeTeX - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_014/typetex.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_014/typetex.pdf,1,4
current canonical hard set,04_math_aligned_014,scope,Scope and comparability,info,"CURRENT CANONICAL HARD SET

Same sample and reference across every populated cell. Claude uses agentic outputs on the six core hard samples and one-turn outputs on the two extra math samples. Gemini uses the stored prompt cascade. Missing cells are shown, not dropped.",,,0,4
current canonical hard set,05_tables_simple_005,reference,Reference - pdfLaTeX,ok,canonical reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,2,5
current canonical hard set,05_tables_simple_005,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,3,5
current canonical hard set,05_tables_simple_005,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,ok,"claude sonnet agentic (visual, effort low); overall=80.7; pages=2/2; compiled from stored Typst",harness/runs/05_tables_simple_005__visual__sonnet__qlow/work/output.typ,temporary Typst compile embedded in report,2,5
current canonical hard set,05_tables_simple_005,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,ok,"claude opus agentic (visual, effort medium) [v3]; overall=88.0; pages=2/2; compiled from stored Typst",harness/runs/05_tables_simple_005__visual__opus__v3run_v3/best_checkpoint.typ,temporary Typst compile embedded in report,2,5
current canonical hard set,05_tables_simple_005,pandoc,Pandoc - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/pandoc.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/pandoc.pdf,1,5
current canonical hard set,05_tables_simple_005,tylax,Tylax - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/tylax.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/tylax.pdf,1,5
current canonical hard set,05_tables_simple_005,typetex,TypeTeX - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/typetex.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/typetex.pdf,1,5
current canonical hard set,05_tables_simple_005,scope,Scope and comparability,info,"CURRENT CANONICAL HARD SET

Same sample and reference across every populated cell. Claude uses agentic outputs on the six core hard samples and one-turn outputs on the two extra math samples. Gemini uses the stored prompt cascade. Missing cells are shown, not dropped.",,,0,5
current canonical hard set,05_tables_simple_021,reference,Reference - pdfLaTeX,ok,canonical reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,3,6
current canonical hard set,05_tables_simple_021,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,prompt v0; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,2,6
current canonical hard set,05_tables_simple_021,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,ok,"claude sonnet agentic (visual, effort low); overall=54.2; pages=3/3; compiled from stored Typst",harness/runs/05_tables_simple_021__visual__sonnet__qlow/work/output.typ,temporary Typst compile embedded in report,3,6
current canonical hard set,05_tables_simple_021,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,ok,"claude opus agentic (visual, effort medium) [v3]; overall=74.8; pages=3/3; compiled from stored Typst",harness/runs/05_tables_simple_021__visual__opus__v3run_v3/best_checkpoint.typ,temporary Typst compile embedded in report,3,6
current canonical hard set,05_tables_simple_021,pandoc,Pandoc - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/pandoc.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/pandoc.pdf,1,6
current canonical hard set,05_tables_simple_021,tylax,Tylax - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/tylax.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/tylax.pdf,1,6
current canonical hard set,05_tables_simple_021,typetex,TypeTeX - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/typetex.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/typetex.pdf,1,6
current canonical hard set,05_tables_simple_021,scope,Scope and comparability,info,"CURRENT CANONICAL HARD SET

Same sample and reference across every populated cell. Claude uses agentic outputs on the six core hard samples and one-turn outputs on the two extra math samples. Gemini uses the stored prompt cascade. Missing cells are shown, not dropped.",,,0,6
current canonical hard set,05_tables_simple_023,reference,Reference - pdfLaTeX,ok,canonical reference,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,3,7
current canonical hard set,05_tables_simple_023,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,prompt v0; attempts=2,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_023/output.pdf,2,7
current canonical hard set,05_tables_simple_023,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,ok,"claude sonnet agentic (visual, effort low); overall=61.4; pages=3/3; compiled from stored Typst",harness/runs/05_tables_simple_023__visual__sonnet__qlow/work/output.typ,temporary Typst compile embedded in report,3,7
current canonical hard set,05_tables_simple_023,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,ok,"claude opus agentic (visual, effort medium) [v3]; overall=64.4; pages=3/3; compiled from stored Typst",harness/runs/05_tables_simple_023__visual__opus__v3run_v3/best_checkpoint.typ,temporary Typst compile embedded in report,3,7
current canonical hard set,05_tables_simple_023,pandoc,Pandoc - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/pandoc.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/pandoc.pdf,1,7
current canonical hard set,05_tables_simple_023,tylax,Tylax - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/tylax.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/tylax.pdf,1,7
current canonical hard set,05_tables_simple_023,typetex,TypeTeX - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/typetex.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/typetex.pdf,1,7
current canonical hard set,05_tables_simple_023,scope,Scope and comparability,info,"CURRENT CANONICAL HARD SET

Same sample and reference across every populated cell. Claude uses agentic outputs on the six core hard samples and one-turn outputs on the two extra math samples. Gemini uses the stored prompt cascade. Missing cells are shown, not dropped.",,,0,7
current canonical hard set,06_tables_moderate_010,reference,Reference - pdfLaTeX,ok,canonical reference,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_010/reference.pdf,data/latex_benchmark_v0/corpus/06_tables_moderate/06_tables_moderate_010/reference.pdf,2,8
current canonical hard set,06_tables_moderate_010,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,prompt v1 targeted retry; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/06_tables_moderate_010/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/06_tables_moderate_010/output.pdf,3,8
current canonical hard set,06_tables_moderate_010,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,ok,"claude sonnet agentic (visual, effort low); overall=72.8; pages=2/2; compiled from stored Typst",harness/runs/06_tables_moderate_010__visual__sonnet__qlow/work/output.typ,temporary Typst compile embedded in report,2,8
current canonical hard set,06_tables_moderate_010,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,ok,"claude opus agentic (visual, effort medium) [v3]; overall=86.4; pages=2/2; compiled from stored Typst",harness/runs/06_tables_moderate_010__visual__opus__v3run_v3/best_checkpoint.typ,temporary Typst compile embedded in report,2,8
current canonical hard set,06_tables_moderate_010,pandoc,Pandoc - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/06_tables_moderate/06_tables_moderate_010/pandoc.pdf,results/latex_benchmark_v0/06_tables_moderate/06_tables_moderate_010/pandoc.pdf,1,8
current canonical hard set,06_tables_moderate_010,tylax,Tylax - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/06_tables_moderate/06_tables_moderate_010/tylax.pdf,results/latex_benchmark_v0/06_tables_moderate/06_tables_moderate_010/tylax.pdf,1,8
current canonical hard set,06_tables_moderate_010,typetex,TypeTeX - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/06_tables_moderate/06_tables_moderate_010/typetex.pdf,results/latex_benchmark_v0/06_tables_moderate/06_tables_moderate_010/typetex.pdf,1,8
current canonical hard set,06_tables_moderate_010,scope,Scope and comparability,info,"CURRENT CANONICAL HARD SET

Same sample and reference across every populated cell. Claude uses agentic outputs on the six core hard samples and one-turn outputs on the two extra math samples. Gemini uses the stored prompt cascade. Missing cells are shown, not dropped.",,,0,8
current canonical hard set,07_figures_captions_007,reference,Reference - pdfLaTeX,ok,canonical reference,data/latex_benchmark_v0/corpus/07_figures_captions/07_figures_captions_007/reference.pdf,data/latex_benchmark_v0/corpus/07_figures_captions/07_figures_captions_007/reference.pdf,1,9
current canonical hard set,07_figures_captions_007,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,prompt v0; attempts=2,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/07_figures_captions_007/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/07_figures_captions_007/output.pdf,1,9
current canonical hard set,07_figures_captions_007,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,ok,"claude sonnet agentic (visual, effort low); overall=76.7; pages=1/1; compiled from stored Typst",harness/runs/07_figures_captions_007__visual__sonnet__qlow/work/output.typ,temporary Typst compile embedded in report,1,9
current canonical hard set,07_figures_captions_007,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,ok,"claude opus agentic (visual, effort medium) [v3]; overall=89.2; pages=1/1; compiled from stored Typst",harness/runs/07_figures_captions_007__visual__opus__v3run_v3/best_checkpoint.typ,temporary Typst compile embedded in report,1,9
current canonical hard set,07_figures_captions_007,pandoc,Pandoc - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/07_figures_captions/07_figures_captions_007/pandoc.pdf,results/latex_benchmark_v0/07_figures_captions/07_figures_captions_007/pandoc.pdf,1,9
current canonical hard set,07_figures_captions_007,tylax,Tylax - deterministic engine,failed,conversion=ok; compile=failed,results/latex_benchmark_v0/07_figures_captions/07_figures_captions_007/tylax.pdf,,0,9
current canonical hard set,07_figures_captions_007,typetex,TypeTeX - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/07_figures_captions/07_figures_captions_007/typetex.pdf,results/latex_benchmark_v0/07_figures_captions/07_figures_captions_007/typetex.pdf,1,9
current canonical hard set,07_figures_captions_007,scope,Scope and comparability,info,"CURRENT CANONICAL HARD SET

Same sample and reference across every populated cell. Claude uses agentic outputs on the six core hard samples and one-turn outputs on the two extra math samples. Gemini uses the stored prompt cascade. Missing cells are shown, not dropped.",,,0,9
current canonical hard set,09_algorithms_003,reference,Reference - pdfLaTeX,ok,canonical reference,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,data/latex_benchmark_v0/corpus/09_algorithms/09_algorithms_003/reference.pdf,2,10
current canonical hard set,09_algorithms_003,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,prompt v1 targeted retry; attempts=1,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/09_algorithms_003/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_v0_failures/samples/09_algorithms_003/output.pdf,1,10
current canonical hard set,09_algorithms_003,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,ok,"claude sonnet agentic (visual, effort low); overall=78.1; pages=2/2; compiled from stored Typst",harness/runs/09_algorithms_003__visual__sonnet__qlow/work/output.typ,temporary Typst compile embedded in report,2,10
current canonical hard set,09_algorithms_003,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,ok,"claude opus agentic (visual, effort medium) [v3]; overall=86.8; pages=2/2; compiled from stored Typst",harness/runs/09_algorithms_003__visual__opus__v3run_v3/best_checkpoint.typ,temporary Typst compile embedded in report,2,10
current canonical hard set,09_algorithms_003,pandoc,Pandoc - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/09_algorithms/09_algorithms_003/pandoc.pdf,results/latex_benchmark_v0/09_algorithms/09_algorithms_003/pandoc.pdf,1,10
current canonical hard set,09_algorithms_003,tylax,Tylax - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/09_algorithms/09_algorithms_003/tylax.pdf,results/latex_benchmark_v0/09_algorithms/09_algorithms_003/tylax.pdf,1,10
current canonical hard set,09_algorithms_003,typetex,TypeTeX - deterministic engine,ok,conversion=ok; compile=ok,results/latex_benchmark_v0/09_algorithms/09_algorithms_003/typetex.pdf,results/latex_benchmark_v0/09_algorithms/09_algorithms_003/typetex.pdf,1,10
current canonical hard set,09_algorithms_003,scope,Scope and comparability,info,"CURRENT CANONICAL HARD SET

Same sample and reference across every populated cell. Claude uses agentic outputs on the six core hard samples and one-turn outputs on the two extra math samples. Gemini uses the stored prompt cascade. Missing cells are shown, not dropped.",,,0,10
dataset-expansion stress test,arxiv5t_paper_019,reference,Reference - Tectonic LaTeX,ok,dataset-expansion reference,dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_019/reference.pdf,dataset_expansion/corpus/arxiv5t_paper/arxiv5t_paper_019/reference.pdf,5,12
dataset-expansion stress test,arxiv5t_paper_019,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,not_run,not evaluated on expansion set,,,0,12
dataset-expansion stress test,arxiv5t_paper_019,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,failed,claude sonnet 1-turn (effort low); no compiled artifact,dataset_expansion/runs/arxiv5t_paper_019__1turn__sonnet__dsx/work/output.typ,,0,12
dataset-expansion stress test,arxiv5t_paper_019,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual low,ok,"claude opus agentic (visual, effort low) [v3]; overall=57.9; pages=5/4; compiled from stored Typst",dataset_expansion/runs_agentic/arxiv5t_paper_019__visual__opus__dsx_v3/work/output.typ,temporary Typst compile embedded in report,4,12
dataset-expansion stress test,arxiv5t_paper_019,pandoc,Pandoc - deterministic engine,not_run,not evaluated on expansion set,,,0,12
dataset-expansion stress test,arxiv5t_paper_019,tylax,Tylax - deterministic engine,not_run,not evaluated on expansion set,,,0,12
dataset-expansion stress test,arxiv5t_paper_019,typetex,TypeTeX - deterministic engine,not_run,not evaluated on expansion set,,,0,12
dataset-expansion stress test,arxiv5t_paper_019,scope,Scope and comparability,info,"DATASET-EXPANSION STRESS TEST

This PR evaluated Claude Sonnet one-turn and Claude Opus agentic v3 only. The empty Gemini and engine cells are intentional coverage gaps. References were compiled with Tectonic, so these pages are not pooled with pdfLaTeX benchmark scores.",,,0,12
dataset-expansion stress test,i2s_equation_001,reference,Reference - Tectonic LaTeX,ok,dataset-expansion reference,dataset_expansion/corpus/i2s_equation/i2s_equation_001/reference.pdf,dataset_expansion/corpus/i2s_equation/i2s_equation_001/reference.pdf,1,13
dataset-expansion stress test,i2s_equation_001,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,not_run,not evaluated on expansion set,,,0,13
dataset-expansion stress test,i2s_equation_001,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,failed,claude sonnet 1-turn (effort low); no compiled artifact,dataset_expansion/runs/i2s_equation_001__1turn__sonnet__dsx/work/output.typ,,0,13
dataset-expansion stress test,i2s_equation_001,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual low,ok,"claude opus agentic (visual, effort low) [v3]; overall=58.6; pages=1/1; compiled from stored Typst",dataset_expansion/runs_agentic/i2s_equation_001__visual__opus__dsx_v3/work/output.typ,temporary Typst compile embedded in report,1,13
dataset-expansion stress test,i2s_equation_001,pandoc,Pandoc - deterministic engine,not_run,not evaluated on expansion set,,,0,13
dataset-expansion stress test,i2s_equation_001,tylax,Tylax - deterministic engine,not_run,not evaluated on expansion set,,,0,13
dataset-expansion stress test,i2s_equation_001,typetex,TypeTeX - deterministic engine,not_run,not evaluated on expansion set,,,0,13
dataset-expansion stress test,i2s_equation_001,scope,Scope and comparability,info,"DATASET-EXPANSION STRESS TEST

This PR evaluated Claude Sonnet one-turn and Claude Opus agentic v3 only. The empty Gemini and engine cells are intentional coverage gaps. References were compiled with Tectonic, so these pages are not pooled with pdfLaTeX benchmark scores.",,,0,13
dataset-expansion stress test,i2s_plot_001,reference,Reference - Tectonic LaTeX,ok,dataset-expansion reference,dataset_expansion/corpus/i2s_plot/i2s_plot_001/reference.pdf,dataset_expansion/corpus/i2s_plot/i2s_plot_001/reference.pdf,1,14
dataset-expansion stress test,i2s_plot_001,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,not_run,not evaluated on expansion set,,,0,14
dataset-expansion stress test,i2s_plot_001,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,failed,claude sonnet 1-turn (effort low); no compiled artifact,dataset_expansion/runs/i2s_plot_001__1turn__sonnet__dsx/work/output.typ,,0,14
dataset-expansion stress test,i2s_plot_001,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual low,ok,"claude opus agentic (visual, effort low) [v3]; overall=67.1; pages=1/1; compiled from stored Typst",dataset_expansion/runs_agentic/i2s_plot_001__visual__opus__dsx_v3/work/output.typ,temporary Typst compile embedded in report,1,14
dataset-expansion stress test,i2s_plot_001,pandoc,Pandoc - deterministic engine,not_run,not evaluated on expansion set,,,0,14
dataset-expansion stress test,i2s_plot_001,tylax,Tylax - deterministic engine,not_run,not evaluated on expansion set,,,0,14
dataset-expansion stress test,i2s_plot_001,typetex,TypeTeX - deterministic engine,not_run,not evaluated on expansion set,,,0,14
dataset-expansion stress test,i2s_plot_001,scope,Scope and comparability,info,"DATASET-EXPANSION STRESS TEST

This PR evaluated Claude Sonnet one-turn and Claude Opus agentic v3 only. The empty Gemini and engine cells are intentional coverage gaps. References were compiled with Tectonic, so these pages are not pooled with pdfLaTeX benchmark scores.",,,0,14
dataset-expansion stress test,neurips_paper_029,reference,Reference - Tectonic LaTeX,ok,dataset-expansion reference,dataset_expansion/corpus/neurips_paper/neurips_paper_029/reference.pdf,dataset_expansion/corpus/neurips_paper/neurips_paper_029/reference.pdf,11,15
dataset-expansion stress test,neurips_paper_029,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,not_run,not evaluated on expansion set,,,0,15
dataset-expansion stress test,neurips_paper_029,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,failed,claude sonnet 1-turn (effort low); no compiled artifact,dataset_expansion/runs/neurips_paper_029__1turn__sonnet__dsx/work/output.typ,,0,15
dataset-expansion stress test,neurips_paper_029,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual low,ok,"claude opus agentic (visual, effort low) [v3]; overall=62.4; pages=11/11; compiled from stored Typst",dataset_expansion/runs_agentic/neurips_paper_029__visual__opus__dsx_v3/work/output.typ,temporary Typst compile embedded in report,11,15
dataset-expansion stress test,neurips_paper_029,pandoc,Pandoc - deterministic engine,not_run,not evaluated on expansion set,,,0,15
dataset-expansion stress test,neurips_paper_029,tylax,Tylax - deterministic engine,not_run,not evaluated on expansion set,,,0,15
dataset-expansion stress test,neurips_paper_029,typetex,TypeTeX - deterministic engine,not_run,not evaluated on expansion set,,,0,15
dataset-expansion stress test,neurips_paper_029,scope,Scope and comparability,info,"DATASET-EXPANSION STRESS TEST

This PR evaluated Claude Sonnet one-turn and Claude Opus agentic v3 only. The empty Gemini and engine cells are intentional coverage gaps. References were compiled with Tectonic, so these pages are not pooled with pdfLaTeX benchmark scores.",,,0,15
dataset-expansion stress test,pubmed_table_004,reference,Reference - Tectonic LaTeX,ok,dataset-expansion reference,dataset_expansion/corpus/pubmed_table/pubmed_table_004/reference.pdf,dataset_expansion/corpus/pubmed_table/pubmed_table_004/reference.pdf,2,16
dataset-expansion stress test,pubmed_table_004,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,not_run,not evaluated on expansion set,,,0,16
dataset-expansion stress test,pubmed_table_004,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,ok,claude sonnet 1-turn (effort low); overall=27.3; pages=2/1; compiled from stored Typst,dataset_expansion/runs/pubmed_table_004__1turn__sonnet__dsx/work/output.typ,temporary Typst compile embedded in report,1,16
dataset-expansion stress test,pubmed_table_004,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual low,ok,"claude opus agentic (visual, effort low) [v3]; overall=60.2; pages=2/2; compiled from stored Typst",dataset_expansion/runs_agentic/pubmed_table_004__visual__opus__dsx_v3/work/output.typ,temporary Typst compile embedded in report,2,16
dataset-expansion stress test,pubmed_table_004,pandoc,Pandoc - deterministic engine,not_run,not evaluated on expansion set,,,0,16
dataset-expansion stress test,pubmed_table_004,tylax,Tylax - deterministic engine,not_run,not evaluated on expansion set,,,0,16
dataset-expansion stress test,pubmed_table_004,typetex,TypeTeX - deterministic engine,not_run,not evaluated on expansion set,,,0,16
dataset-expansion stress test,pubmed_table_004,scope,Scope and comparability,info,"DATASET-EXPANSION STRESS TEST

This PR evaluated Claude Sonnet one-turn and Claude Opus agentic v3 only. The empty Gemini and engine cells are intentional coverage gaps. References were compiled with Tectonic, so these pages are not pooled with pdfLaTeX benchmark scores.",,,0,16
dataset-expansion stress test,pubmed_table_005,reference,Reference - Tectonic LaTeX,ok,dataset-expansion reference,dataset_expansion/corpus/pubmed_table/pubmed_table_005/reference.pdf,dataset_expansion/corpus/pubmed_table/pubmed_table_005/reference.pdf,2,17
dataset-expansion stress test,pubmed_table_005,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,not_run,not evaluated on expansion set,,,0,17
dataset-expansion stress test,pubmed_table_005,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,failed,claude sonnet 1-turn (effort low); no compiled artifact,dataset_expansion/runs/pubmed_table_005__1turn__sonnet__dsx/work/output.typ,,0,17
dataset-expansion stress test,pubmed_table_005,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual low,ok,"claude opus agentic (visual, effort low) [v3]; overall=58.0; pages=2/2; compiled from stored Typst",dataset_expansion/runs_agentic/pubmed_table_005__visual__opus__dsx_v3/work/output.typ,temporary Typst compile embedded in report,2,17
dataset-expansion stress test,pubmed_table_005,pandoc,Pandoc - deterministic engine,not_run,not evaluated on expansion set,,,0,17
