variant_id,sample_id,variant,severity,score_and_localization_equal,mismatched_fields,pdf_bytes_equal,render_pixels_equal
1971c985bb1f7091,08_crossrefs_citations_006,text_deletion,2,true,,true,true
19a8db9a6ab406bf,06_tables_moderate_013,text_deletion,3,true,,,
1bae35dc403ebe43,01_prose_sections_004,text_deletion,1,true,,,
1c0516b7a9728fe2,02_lists_formatting_008,text_deletion,3,true,,,
1cb2c6a3faab681e,04_math_aligned_004,text_deletion,1,true,,,
1d7f9cae5e1f92a6,05_tables_simple_012,text_deletion,1,true,,,
1d8969921940691a,11_forms_cv_letters_009,text_deletion,3,true,,,
1db430407ee3eb8f,02_lists_formatting_012,text_deletion,3,true,,,
1ecb752a84547aa5,03_math_inline_display_016,text_deletion,2,true,,true,true
1ef483f4784a3481,03_math_inline_display_006,text_deletion,2,true,,true,true
1f7d9075ef0654dd,06_tables_moderate_019,text_deletion,3,true,,,
1fbb4e266219fd88,02_lists_formatting_021,text_deletion,3,true,,,
20b6e316913f4c6e,05_tables_simple_012,text_deletion,2,true,,true,true
21b89e7ac4f0708b,03_math_inline_display_003,text_deletion,2,true,,true,true
21bd35532b8697a7,05_tables_simple_017,text_deletion,2,true,,true,true
222f6a5ef6cd97f7,05_tables_simple_023,text_deletion,1,true,,,
22c4d35cdff6466f,02_lists_formatting_003,text_deletion,2,true,,true,true
22d21916a3ffef89,01_prose_sections_001,text_deletion,2,true,,true,true
233928ec63654c09,05_tables_simple_025,text_deletion,1,true,,,
234754acb5bd60cd,04_math_aligned_014,text_deletion,2,true,,true,true
237eb69491ec474b,02_lists_formatting_012,text_deletion,1,true,,,
238d7fd011ae37f1,09_algorithms_003,text_deletion,2,true,,true,true
239cf2bb8af67a12,07_figures_captions_004,text_deletion,3,true,,,
2441efa9b1d8bf02,10_compact_papers_015,text_deletion,2,true,,true,true
254902f1602676bd,08_crossrefs_citations_002,text_deletion,3,true,,,
2554ec9be1080666,07_figures_captions_001,text_deletion,3,true,,,
2622ef2ebbc41526,06_tables_moderate_017,text_deletion,3,true,,,
264b0bac64a00fe3,08_crossrefs_citations_004,text_deletion,2,true,,true,true
29238438509b4ddd,10_compact_papers_005,text_deletion,2,true,,true,true
29433e48dc59d2c7,07_figures_captions_011,text_deletion,3,true,,,
29545859b3397ada,06_tables_moderate_029,text_deletion,2,true,,true,true
2b275b1bd1c329c8,05_tables_simple_025,text_deletion,3,true,,,
2bda047cfd078516,08_crossrefs_citations_003,text_deletion,2,true,,true,true
2ce301e2cff3f5ba,03_math_inline_display_006,text_deletion,3,true,,,
2d102b93f608c091,02_lists_formatting_025,text_deletion,1,true,,,
2d2c71c167df11ce,07_figures_captions_008,text_deletion,3,true,,,
2d54f53bb9b0749a,10_compact_papers_004,text_deletion,3,true,,,
2d78f6c42c73d1eb,01_prose_sections_013,text_deletion,1,true,,,
2d838e286c41aba0,06_tables_moderate_034,text_deletion,1,true,,,
2dfe1b13f2a1e7d0,09_algorithms_004,text_deletion,3,true,,,
2e1fe7719b4721d2,05_tables_simple_005,text_deletion,2,true,,true,true
2e926ca49933477e,07_figures_captions_005,text_deletion,3,true,,,
2f3a67d854fd9d4e,10_compact_papers_005,text_deletion,3,true,,,
301ecf685bd5e995,07_figures_captions_014,text_deletion,3,true,,,
30c0774c6c897187,04_math_aligned_015,text_deletion,2,true,,true,true
31a78d39aa6947d9,03_math_inline_display_018,text_deletion,3,true,,,
323612709eaddd2f,06_tables_moderate_014,text_deletion,1,true,,,
327b3aa3805cf5f2,07_figures_captions_008,text_deletion,1,true,,,
32829b08b8f2c23f,09_algorithms_009,text_deletion,3,true,,,
329a6602994e203b,02_lists_formatting_011,text_deletion,3,true,,,
3350f792a75ddb2c,05_tables_simple_011,text_deletion,2,true,,true,true
341e6756ff091f86,06_tables_moderate_032,text_deletion,3,true,,,
3423825f03d1854a,05_tables_simple_006,text_deletion,1,true,,,
34a0f7e22f068ec3,09_algorithms_005,text_deletion,2,true,,true,true
35a769e0b06f1058,11_forms_cv_letters_010,text_deletion,2,true,,true,true
35ae0bf3cd973110,06_tables_moderate_030,text_deletion,2,true,,true,true
3615bed1c554bcc4,02_lists_formatting_006,text_deletion,3,true,,,
363ac2e1fdf89dd8,05_tables_simple_023,text_deletion,2,true,,true,true
369608e222dc9c31,09_algorithms_017,text_deletion,2,true,,true,true
36bd3a83478681f5,04_math_aligned_003,text_deletion,2,true,,true,true
36c5a92ecda00580,07_figures_captions_009,text_deletion,2,true,,true,true
36fabb25f50e9cfb,06_tables_moderate_030,text_deletion,3,true,,,
370759fc9bd135a6,03_math_inline_display_016,text_deletion,1,true,,,
37194c10f6256a61,04_math_aligned_010,text_deletion,1,true,,,
3775eeb7ba9bfe58,08_crossrefs_citations_005,text_deletion,3,true,,,
378417a8f0d65651,06_tables_moderate_034,text_deletion,2,true,,true,true
37aa931b59aa684d,03_math_inline_display_017,text_deletion,2,true,,true,true
389ac5517fd9c6de,04_math_aligned_002,text_deletion,1,true,,,
38b5ab84cf3c0520,03_math_inline_display_018,text_deletion,2,true,,true,true
38e694f760918cd3,03_math_inline_display_007,text_deletion,1,true,,,
395895013169fac6,09_algorithms_016,text_deletion,2,true,,true,true
3979e671e609b727,09_algorithms_021,text_deletion,3,true,,,
3a441d55c77170da,06_tables_moderate_015,text_deletion,1,true,,,
3b06ab53e530233f,01_prose_sections_012,text_deletion,2,true,,true,true
3bbdac39bb4fe6f8,08_crossrefs_citations_006,text_deletion,3,true,,,
3c2cc20802c3d503,09_algorithms_013,text_deletion,3,true,,,
3c6338ee0bf49037,02_lists_formatting_020,text_deletion,1,true,,,
3ceeab21c661e8ab,02_lists_formatting_002,text_deletion,2,true,,true,true
3d3c4da3199e1bf5,04_math_aligned_011,text_deletion,1,true,,,
3db4b653b3bb0654,10_compact_papers_006,text_deletion,3,true,,,
3e26177f921419d2,05_tables_simple_014,text_deletion,2,true,,true,true
3e96e0453b5648d9,03_math_inline_display_018,text_deletion,1,true,,,
3fc898a66b73834d,04_math_aligned_005,text_deletion,1,true,,,
40522e0f59330731,09_algorithms_021,text_deletion,2,true,,true,true
40906fa6ac6358ea,09_algorithms_018,text_deletion,2,true,,true,true
41894f0d1134ff34,08_crossrefs_citations_007,text_deletion,1,true,,,
4190814330233bd1,09_algorithms_013,text_deletion,2,true,,true,true
41d719d9e9c10e6e,02_lists_formatting_024,text_deletion,1,true,,,
4247c85cf0766b7e,03_math_inline_display_006,text_deletion,1,true,,,
4299f3a7a595f71b,10_compact_papers_012,text_deletion,2,true,,true,true
429c2c97a629abd6,09_algorithms_011,text_deletion,2,true,,true,true
42f579a77923203b,06_tables_moderate_002,text_deletion,2,true,,true,true
432caf6c7e882d84,11_forms_cv_letters_001,text_deletion,2,true,,true,true
43d81e1d29d00f79,03_math_inline_display_009,text_deletion,2,true,,true,true
43d8ad4917ce70d8,02_lists_formatting_020,text_deletion,3,true,,,
441b167d0da1c352,01_prose_sections_004,text_deletion,3,true,,,
44b772ba2b1f355e,05_tables_simple_007,text_deletion,3,true,,,
44bb5eb0d9fe964a,05_tables_simple_024,text_deletion,1,true,,,
455f90152b4af66e,05_tables_simple_021,text_deletion,3,true,,,
4600a2475bc62f71,09_algorithms_009,text_deletion,2,true,,true,true
4621a9355b4487ba,02_lists_formatting_014,text_deletion,1,true,,,
471271f12c1706fb,03_math_inline_display_013,text_deletion,3,true,,,
47475676207148ad,05_tables_simple_021,text_deletion,1,true,,,
4772fefcfa6147ed,08_crossrefs_citations_015,text_deletion,3,true,,,
47f240ecf3a6c4ac,11_forms_cv_letters_007,text_deletion,1,true,,,
493db68d3fe84c00,04_math_aligned_014,text_deletion,1,true,,,
49b7232b6f3e4cc4,06_tables_moderate_008,text_deletion,3,true,,,
49d53e3bb82bf48f,04_math_aligned_009,text_deletion,1,true,,,
49da89d69b215d83,01_prose_sections_010,text_deletion,1,true,,,
4a0b49b25eab7634,09_algorithms_004,text_deletion,2,true,,true,true
4a5a241d12dedc87,03_math_inline_display_012,text_deletion,2,true,,true,true
4b70c56758bac072,11_forms_cv_letters_002,text_deletion,1,true,,,
4b8a9880aba3ab32,09_algorithms_011,text_deletion,1,true,,,
4ba4b26679e3e2d2,03_math_inline_display_015,text_deletion,2,true,,true,true
4bda013dcb3437e4,09_algorithms_018,text_deletion,3,true,,,
4be56c2df23dba38,06_tables_moderate_012,text_deletion,2,true,,true,true
4c35b65634c46cbc,01_prose_sections_014,text_deletion,3,true,,,
4c5a29a8fa3fe6e4,04_math_aligned_008,text_deletion,2,true,,true,true
4d53de63bdb25658,05_tables_simple_024,text_deletion,3,true,,,
4d8377d63ef5d00e,08_crossrefs_citations_004,text_deletion,1,true,,,
4e8fdb9f62480bc2,07_figures_captions_009,text_deletion,3,true,,,
4ec89619a1feaa59,09_algorithms_016,text_deletion,3,true,,,
4fe8db6ac485096c,03_math_inline_display_003,text_deletion,1,true,,,
4fff1fcf57e37255,06_tables_moderate_013,text_deletion,2,true,,true,true
5082702044abc091,02_lists_formatting_008,text_deletion,2,true,,true,true
50bd5c257bcefeb4,06_tables_moderate_032,text_deletion,2,true,,true,true
50ec855cf4240cd8,06_tables_moderate_033,text_deletion,1,true,,,
50ed1e1ddf0353aa,01_prose_sections_004,text_deletion,2,true,,true,true
513ec59c4047b101,07_figures_captions_012,text_deletion,3,true,,,
51fdc63f57923a5e,04_math_aligned_001,text_deletion,3,true,,,
521bb845b04eff92,06_tables_moderate_033,text_deletion,2,true,,true,true
5286b47438c5569f,08_crossrefs_citations_006,text_deletion,1,true,,,
534fdb38807cc770,06_tables_moderate_017,text_deletion,2,true,,true,true
53919425a666941e,07_figures_captions_013,text_deletion,3,true,,,
539b7a994b96592f,08_crossrefs_citations_004,text_deletion,3,true,,,
5507a4a7aebb41a5,07_figures_captions_012,text_deletion,1,true,,,
553c31ba1d54b944,06_tables_moderate_018,text_deletion,2,true,,true,true
56d209e614acc114,03_math_inline_display_014,text_deletion,1,true,,,
571336fe1e876f88,08_crossrefs_citations_010,text_deletion,3,true,,,
5780af8e3b0a20c5,06_tables_moderate_014,text_deletion,2,true,,true,true
580a6bc9c9868799,07_figures_captions_005,text_deletion,1,true,,,
584359a25dd63985,07_figures_captions_007,text_deletion,1,true,,,
584aec473aa3689d,06_tables_moderate_012,text_deletion,3,true,,,
5892523396ed6eb7,05_tables_simple_020,text_deletion,3,true,,,
5950e9e16d2a86a6,09_algorithms_004,text_deletion,1,true,,,
595734d87638b348,04_math_aligned_013,text_deletion,1,true,,,
59cb5ec4bef74dd0,10_compact_papers_011,text_deletion,3,true,,,
59d16444706f89c6,07_figures_captions_012,text_deletion,2,true,,true,true
5ac895c9da0e07f9,01_prose_sections_011,text_deletion,1,true,,,
5b05210b7ce59186,10_compact_papers_001,text_deletion,1,true,,,
5b35b5bd3b58a88a,06_tables_moderate_002,text_deletion,3,true,,,
5bd12df04a7b4b70,03_math_inline_display_004,text_deletion,1,true,,,
5c181ac389a8619e,05_tables_simple_002,text_deletion,3,true,,,
5c6d0857d4938639,01_prose_sections_014,text_deletion,2,true,,true,true
5d600d50314ccc3c,05_tables_simple_017,text_deletion,3,true,,,
5e4217ab4399c244,02_lists_formatting_026,text_deletion,2,true,,true,true
5e52bea83337b1c9,09_algorithms_001,text_deletion,2,true,,true,true
60097a131fea1438,04_math_aligned_005,text_deletion,2,true,,true,true
6012b9a00d40d74e,08_crossrefs_citations_003,text_deletion,1,true,,,
603c7e0c51e186be,09_algorithms_021,text_deletion,1,true,,,
60a001752786891f,08_crossrefs_citations_003,text_deletion,3,true,,,
61a26b78249694a5,07_figures_captions_011,text_deletion,1,true,,,
61f1418587e5874a,07_figures_captions_006,text_deletion,3,true,,,
627d9bbeafaba5f6,04_math_aligned_002,text_deletion,3,true,,,
62aa60271696df59,11_forms_cv_letters_005,text_deletion,1,true,,,
62e2703f4ab77b86,03_math_inline_display_007,text_deletion,2,true,,true,true
649027c09e990026,02_lists_formatting_021,text_deletion,2,true,,true,true
649679fa6760adc6,11_forms_cv_letters_003,text_deletion,1,true,,,
65ed0ffeed29bf11,04_math_aligned_011,text_deletion,3,true,,,
65f8b3c7323f1e15,07_figures_captions_006,text_deletion,1,true,,,
66b5b7dc25f31f0d,07_figures_captions_003,text_deletion,1,true,,,
67f80ddf37e72494,10_compact_papers_002,text_deletion,1,true,,,
68a6d00c77fee0ac,02_lists_formatting_003,text_deletion,3,true,,,
68eaa3385948e4fe,02_lists_formatting_018,text_deletion,3,true,,,
6a0983e4328243ea,02_lists_formatting_024,text_deletion,2,true,,true,true
6b18dcd7c5f20b7b,11_forms_cv_letters_006,text_deletion,3,true,,,
6c466da9b46574c4,08_crossrefs_citations_011,text_deletion,3,true,,,
6cd9f8bcf3bb173d,06_tables_moderate_010,text_deletion,1,true,,,
6dacfed2d3c284be,03_math_inline_display_013,text_deletion,2,true,,true,true
6debfa24d1eca0e5,04_math_aligned_012,text_deletion,2,true,,true,true
6f17c9318e70cfcf,06_tables_moderate_015,text_deletion,2,true,,true,true
702c503e0d51cddc,04_math_aligned_011,text_deletion,2,true,,true,true
70ad404e8eddd314,05_tables_simple_023,text_deletion,3,true,,,
70e01845acfd40c9,05_tables_simple_025,text_deletion,2,true,,true,true
718827db9fe01687,11_forms_cv_letters_003,text_deletion,3,true,,,
71fa1eeb5a67800e,01_prose_sections_001,text_deletion,3,true,,,
735fe3308cb33591,02_lists_formatting_021,text_deletion,1,true,,,
73ba3bb4f0af0dc3,04_math_aligned_015,text_deletion,3,true,,,
73efd3be0a0e3f2b,01_prose_sections_013,text_deletion,3,true,,,
74abbb0fa259b603,10_compact_papers_002,text_deletion,2,true,,true,true
757523a18de55c8c,05_tables_simple_028,text_deletion,2,true,,true,true
769438ff63fc04d2,06_tables_moderate_017,text_deletion,1,true,,,
773b0c5d742c7867,09_algorithms_018,text_deletion,1,true,,,
7745c632e662d6d2,06_tables_moderate_010,text_deletion,2,true,,true,true
77d47e26af019107,05_tables_simple_021,text_deletion,2,true,,true,true
79677c17e77e62c4,11_forms_cv_letters_001,text_deletion,3,true,,,
79ce67a8465ea59a,03_math_inline_display_005,text_deletion,1,true,,,
79de47bc372fa2cb,01_prose_sections_006,text_deletion,1,true,,,
7bc4705a666346f4,09_algorithms_003,text_deletion,1,true,,,
7d0b0e9478a2a3bf,07_figures_captions_010,text_deletion,3,true,,,
7d25ed067f6b6efb,02_lists_formatting_018,text_deletion,1,true,,,
7d437f60e4a2ccb1,05_tables_simple_001,text_deletion,3,true,,,
7d4e434014e3e7d0,09_algorithms_016,text_deletion,1,true,,,
7d850b745beb9dab,07_figures_captions_003,text_deletion,2,true,,true,true
7da24929fc483793,04_math_aligned_001,text_deletion,2,true,,true,true
7decf1c4ee6d7087,10_compact_papers_011,text_deletion,2,true,,true,true
7e148d935e28efa4,08_crossrefs_citations_001,text_deletion,1,true,,,
7e7b9d83a6bcca75,07_figures_captions_003,text_deletion,3,true,,,
7e86078d5daec49d,02_lists_formatting_015,text_deletion,2,true,,true,true
7ee3b06313102d94,11_forms_cv_letters_002,text_deletion,3,true,,,
7fd6e80665af223d,01_prose_sections_012,text_deletion,1,true,,,
811a69d3699f9749,03_math_inline_display_001,text_deletion,2,true,,true,true
8231f5ce8f62e0f6,06_tables_moderate_035,text_deletion,3,true,,,
82abad0625a113f7,06_tables_moderate_010,text_deletion,3,true,,,
8431b22ec46668f6,04_math_aligned_013,text_deletion,2,true,,true,true
84689dfe7109ad2e,04_math_aligned_002,text_deletion,2,true,,true,true
84d93da0dbff84a5,04_math_aligned_009,text_deletion,2,true,,true,true
84e73c6c04094fac,03_math_inline_display_001,text_deletion,3,true,,,
859ec154043ed9a0,08_crossrefs_citations_009,text_deletion,2,true,,true,true
85ee9648e62b17f0,07_figures_captions_011,text_deletion,2,true,,true,true
8678c142dbc9cb76,04_math_aligned_010,text_deletion,2,true,,true,true
872e5968a5ee608e,08_crossrefs_citations_001,text_deletion,3,true,,,
8a9829dc5e490498,11_forms_cv_letters_007,text_deletion,3,true,,,
8ac092f70ed0dee3,01_prose_sections_002,text_deletion,3,true,,,
8ac994a7b1ee56db,07_figures_captions_004,text_deletion,1,true,,,
8b2eec39c7b29deb,08_crossrefs_citations_014,text_deletion,3,true,,,
8c7743ac649a40e2,03_math_inline_display_002,text_deletion,1,true,,,
8cb43fec66ecc3e9,08_crossrefs_citations_007,text_deletion,2,true,,true,true
8dcb174df9d3a510,07_figures_captions_002,text_deletion,2,true,,true,true
8e22ca170c6fad7e,05_tables_simple_007,text_deletion,2,true,,true,true
8e6f4938959fa20d,02_lists_formatting_006,text_deletion,2,true,,true,true
8ef9c92d162153e3,05_tables_simple_014,text_deletion,3,true,,,
8fbe2c759f517ecf,10_compact_papers_011,text_deletion,1,true,,,
9126bb10b4eff98d,11_forms_cv_letters_008,text_deletion,1,true,,,
91400c94953744fc,05_tables_simple_015,text_deletion,3,true,,,
9153f2fae50141af,06_tables_moderate_013,text_deletion,1,true,,,
920c78d657785d94,07_figures_captions_013,text_deletion,2,true,,true,true
9229752f77b7abf8,07_figures_captions_006,text_deletion,2,true,,true,true
93fc142f5f271c8e,07_figures_captions_010,text_deletion,1,true,,,
942b2782ac4c9459,06_tables_moderate_018,text_deletion,3,true,,,
943f8037334b399a,05_tables_simple_012,text_deletion,3,true,,,
94bc7056362c5f1b,01_prose_sections_007,text_deletion,1,true,,,
94dec43c36bd227b,05_tables_simple_028,text_deletion,1,true,,,
9513005d2ec02e82,02_lists_formatting_014,text_deletion,2,true,,true,true
95166be0a5267aae,05_tables_simple_002,text_deletion,1,true,,,
95a9bd4367698651,09_algorithms_008,text_deletion,2,true,,true,true
967ad716c9c638a0,09_algorithms_001,text_deletion,3,true,,,
98f82d9a33d75f2e,03_math_inline_display_017,text_deletion,1,true,,,
9a0ea50fdc5f4123,06_tables_moderate_029,text_deletion,3,true,,,
9a39daf2a57c0386,05_tables_simple_017,text_deletion,1,true,,,
9b112bc78c9af859,06_tables_moderate_030,text_deletion,1,true,,,
9b1fb3b4a03d783d,02_lists_formatting_003,text_deletion,1,true,,,
9d39c7140a6a6d2d,03_math_inline_display_002,text_deletion,3,true,,,
9e40372f5e346c35,02_lists_formatting_012,text_deletion,2,true,,true,true
9ee3c3413e5b68c4,03_math_inline_display_010,text_deletion,1,true,,,
a03b5788375a5636,08_crossrefs_citations_015,text_deletion,1,true,,,
a04614e3b4979ea8,04_math_aligned_003,text_deletion,1,true,,,
a0b3a86617eac7f3,05_tables_simple_006,text_deletion,2,true,,true,true
a0c687dcc1131f16,01_prose_sections_002,text_deletion,2,true,,true,true
a0eca4b0680ce2aa,09_algorithms_009,text_deletion,1,true,,,
a1ec9bf11b0e7ad6,07_figures_captions_001,text_deletion,2,true,,true,true
a28ef27b3d7b00fc,02_lists_formatting_020,text_deletion,2,true,,true,true
a2ba4810d2995ceb,03_math_inline_display_010,text_deletion,2,true,,true,true
a4617d31230e27fc,05_tables_simple_018,text_deletion,3,true,,,
a4741ad63c175db0,05_tables_simple_020,text_deletion,1,true,,,
a590f8755f26550e,11_forms_cv_letters_008,text_deletion,2,true,,true,true
a6ca24895c31bbef,10_compact_papers_002,text_deletion,3,true,,,
a70aac7d6d1a664e,01_prose_sections_009,text_deletion,3,true,,,
aa54ea8aac067ab9,05_tables_simple_018,text_deletion,2,true,,true,true
aa5c154f64465038,03_math_inline_display_001,text_deletion,1,true,,,
aaa15f0c7c275b5f,03_math_inline_display_003,text_deletion,3,true,,,
aad44091c67000ac,04_math_aligned_007,text_deletion,2,true,,true,true
ac2196650f3205d1,06_tables_moderate_015,text_deletion,3,true,,,
ad29f783a3cd4303,03_math_inline_display_008,text_deletion,1,true,,,
ad3a3198e7d00ef9,06_tables_moderate_008,text_deletion,2,true,,true,true
ad86fe13310f80a4,04_math_aligned_006,text_deletion,1,true,,,
ae2498495509b390,11_forms_cv_letters_002,text_deletion,2,true,,true,true
ae2c1298f181bd45,02_lists_formatting_015,text_deletion,3,true,,,
ae5fc2f5e5c96013,11_forms_cv_letters_006,text_deletion,2,true,,true,true
ae6e893db9d95b2e,07_figures_captions_009,text_deletion,1,true,,,
af7d192ba34a0ae7,06_tables_moderate_007,text_deletion,2,true,,true,true
af804e3aa979a6d6,04_math_aligned_006,text_deletion,3,true,,,
b0b7038d4f99ba38,01_prose_sections_008,text_deletion,2,true,,true,true
b0c1f272f9def8c8,05_tables_simple_020,text_deletion,2,true,,true,true
b1229ecd1eb267ef,11_forms_cv_letters_001,text_deletion,1,true,,,
b2109d434e9bf835,03_math_inline_display_004,text_deletion,3,true,,,
b29e3875f918f901,07_figures_captions_015,text_deletion,1,true,,,
b32bf5266d8665d5,11_forms_cv_letters_005,text_deletion,3,true,,,
b4e460bae48614ac,02_lists_formatting_024,text_deletion,3,true,,,
b5c1e4bd9aea9ec6,09_algorithms_005,text_deletion,3,true,,,
b614c9f167bad639,03_math_inline_display_017,text_deletion,3,true,,,
b62e4156722f6e64,11_forms_cv_letters_007,text_deletion,2,true,,true,true
b793044b861374a3,04_math_aligned_008,text_deletion,3,true,,,
b79b77f18c293751,08_crossrefs_citations_013,text_deletion,2,true,,true,true
b832e51306dd9925,03_math_inline_display_011,text_deletion,3,true,,,
b90515478061559b,04_math_aligned_004,text_deletion,2,true,,true,true
b9b4cac8e1117c03,07_figures_captions_002,text_deletion,1,true,,,
b9bca29c03de2671,04_math_aligned_012,text_deletion,3,true,,,
ba99d86dd1a952eb,01_prose_sections_010,text_deletion,3,true,,,
bb32cdb496abd5eb,03_math_inline_display_012,text_deletion,3,true,,,
bba618e834670c53,02_lists_formatting_011,text_deletion,1,true,,,
bc94dac948ae3def,08_crossrefs_citations_013,text_deletion,1,true,,,
bcf29038eef333de,06_tables_moderate_035,text_deletion,2,true,,true,true
bd3e5de48dcd2e71,03_math_inline_display_014,text_deletion,2,true,,true,true
bd4b6590ac99fa40,02_lists_formatting_002,text_deletion,3,true,,,
bd938f6245b9a1c6,06_tables_moderate_008,text_deletion,1,true,,,
bdd38ededb1fb829,01_prose_sections_011,text_deletion,3,true,,,
bea957a4f3724808,03_math_inline_display_004,text_deletion,2,true,,true,true
bf3e0d6135645f00,03_math_inline_display_011,text_deletion,1,true,,,
bf4e2e69a69683e4,09_algorithms_001,text_deletion,1,true,,,
bf93016c8eba6446,01_prose_sections_012,text_deletion,3,true,,,
c00a0620918d9394,05_tables_simple_027,text_deletion,1,true,,,
c057c564e48a72ef,06_tables_moderate_035,text_deletion,1,true,,,
c12bf32ece38dc51,02_lists_formatting_013,text_deletion,3,true,,,
c3649e33ac1508f0,09_algorithms_013,text_deletion,1,true,,,
c51d953769c7298e,10_compact_papers_001,text_deletion,2,true,,true,true
c523ce785c9d1047,04_math_aligned_004,text_deletion,3,true,,,
c61cf229a067ae00,05_tables_simple_027,text_deletion,3,true,,,
c624e5847f1a296f,10_compact_papers_004,text_deletion,2,true,,true,true
c67dbfddc19ceeba,09_algorithms_005,text_deletion,1,true,,,
c6ee37e191935695,03_math_inline_display_009,text_deletion,1,true,,,
c77bad1f044acd97,03_math_inline_display_014,text_deletion,3,true,,,
c8a1ba921730ccc3,04_math_aligned_015,text_deletion,1,true,,,
c99dcac175277a52,05_tables_simple_014,text_deletion,1,true,,,
c9d8167f450e7fee,10_compact_papers_001,text_deletion,3,true,,,
ca26bdad126cd70d,06_tables_moderate_031,text_deletion,2,true,,true,true
ca44c4b96185d8ed,08_crossrefs_citations_005,text_deletion,2,true,,true,true
ca8c133ffb1d2ced,03_math_inline_display_011,text_deletion,2,true,,true,true
cae1231413e679a6,06_tables_moderate_012,text_deletion,1,true,,,
cb2344209ca8ed7f,09_algorithms_017,text_deletion,3,true,,,
cb56c07d26674ba5,03_math_inline_display_015,text_deletion,3,true,,,
cbad69ae51cbd3d9,04_math_aligned_014,text_deletion,3,true,,,
cc45eb5d8805e946,10_compact_papers_006,text_deletion,1,true,,,
ccb0086ad073fc90,03_math_inline_display_016,text_deletion,3,true,,,
cd12749346c7ca1b,03_math_inline_display_013,text_deletion,1,true,,,
cd33d939519d4d29,11_forms_cv_letters_004,text_deletion,3,true,,,
ceae162c0bb648d3,02_lists_formatting_008,text_deletion,1,true,,,
cf0ec310a4cefffd,09_algorithms_008,text_deletion,3,true,,,
d0125bc96a80fa82,07_figures_captions_004,text_deletion,2,true,,true,true
d070dbfaa7bb6d89,01_prose_sections_002,text_deletion,1,true,,,
d1483f7619c9f77d,05_tables_simple_027,text_deletion,2,true,,true,true
