audit_case_id,blind_index,content_issue,layout_issue,typography_issue,pagination_issue,specialized_issue,severity_summary,confidence,review_notes,reviewer,audit_index,sample_id,category,model_hidden_truth,resolved_model_hidden_truth,selected_prompt_stage_hidden_truth,prompt_path_hidden_truth,system_prompt_sha256_hidden_truth,final_attempt_hidden_truth,candidate_compiled,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,unblind_notes,strict_word_f1,number_f1,token_center_displacement_q90,text_ltsim_page_macro,font_size_log_error_q90,unregistered_ink_f1,unregistered_ssim,page_count_delta,page_break_f1,canvas_exact_size_rate,v2_evidence_json,maximum_issue_severity_ordinal
AI011,11,minor,major,moderate,major,major,Three table pages collapse to two and the final table collides at the bottom.,0.99,"The candidate moves the algebra table onto page 1, the instrument table onto page 2, and compresses its last rows into a dark overlapping lower band.",codex_researcher_b,11,05_tables_simple_021,05_tables_simple,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,1,true,true,true,true,The cyan box marks the missing third reference page and therefore directly explains the pagination failure. The low pagination and layout scores agree with the three-to-two-page collapse and table collision.,0.47105263157894733,0.993827160493827,0.3269271192024257,0.7015432295043424,0.4172140924770726,0.13264172836566301,,-1,0.4,0.0,results/metric_research_v2/gemini_frozen_156/evidence/05_tables_simple_021.json,3
AI012,12,moderate,moderate,minor,none,moderate,Citation keys replace numbering and the reference hierarchy is weakened.,0.99,"The candidate uses [sb] and [joe], duplicates 'Section' and 'Equation', omits the standalone References heading, and labels bibliography entries by source key.",codex_researcher_b,12,08_crossrefs_citations_011,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,false,true,true,The residual is page-wide rather than localized to citation-key and heading changes. High content with weak layout and appearance is directionally consistent with the visible reflow and duplicated labels.,0.8458149779735682,0.7586206896551725,0.25349477553436517,0.7196097058308101,0.09905721575013436,0.08815049809994341,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/08_crossrefs_citations_011.json,2
AI013,13,none,major,moderate,major,none,Two pages of formulas are compressed into one page without visible formula loss.,0.99,"Reference expression 5 occupies page 2, while the candidate fits expressions 1 through 5 into one much denser page.",codex_researcher_b,13,04_math_aligned_014,04_math_aligned,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,1,true,true,false,true,"The box identifies the missing second reference page. Pagination and layout correctly flag the two-to-one-page collapse, but the low content score contradicts the visibly preserved formulas.",0.43109540636042404,0.9743589743589743,0.545896993374565,0.6976817039763406,0.039257085509301654,0.10194112012441693,,-1,0.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/04_math_aligned_014.json,3
AI014,14,minor,major,minor,none,moderate,The letter loses its date and changes the document's spatial form.,0.99,The candidate omits '13. Juli 2026' and moves the sender block to the upper right while pulling the salutation and body upward.,codex_researcher_b,14,11_forms_cv_letters_007,11_forms_cv_letters,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,1,true,false,true,false,"The residual covers nearly the entire letter and does not isolate the missing date or repositioned blocks. High content with poor spatial axes is plausible, and the matching canvas sequence removes that confound.",0.9690721649484536,0.6666666666666666,0.6714783768827142,0.6706398655599882,0.08327107371093964,0.05651482288277951,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/11_forms_cv_letters_007.json,3
AI015,15,minor,major,major,none,major,Later tables are miniaturized and the last page contains severe row overlap.,0.99,"Candidate page 2 is much narrower than the reference, and page 3 collapses its bottom rows and caption into a dark illegible band.",codex_researcher_b,15,06_tables_moderate_015,06_tables_moderate,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,true,true,true,"The residual selects the second-page table whose candidate counterpart is miniaturized and colliding. The score pattern correctly reflects retained table content with severe layout, typography, and page-flow loss.",0.8573784006595219,0.7395833333333334,0.18316213167918366,0.7085085098467073,0.20562722390225877,0.1495165817796281,,0,0.5714285714285715,0.0,results/metric_research_v2/gemini_frozen_156/evidence/06_tables_moderate_015.json,3
AI016,16,none,major,moderate,major,moderate,Three table pages are consolidated into two with substantial rescaling.,0.98,"The candidate places the first table on page 1 and the second on page 2, eliminating the reference's separate introductory page and changing both table scales.",codex_researcher_b,16,05_tables_simple_027,05_tables_simple,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,2,true,true,false,true,"The cyan enclosure identifies the missing third reference page. The pagination and layout penalties are warranted, but the very low content score is inconsistent with the substantially preserved document content.",0.43733333333333335,0.8707124010554089,0.53231853829168,0.6753176994714559,0.902332686024788,0.08641072196771181,,-1,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/05_tables_simple_027.json,3
AI017,17,moderate,moderate,minor,none,moderate,Math and citation identifiers are exposed or substituted in multiple regions.,0.98,"The abstract shows source-like parameter text, citations become [19], and the cross-reference sentence duplicates both 'Section' and 'Equation'.",codex_researcher_b,17,08_crossrefs_citations_003,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,2,true,false,true,true,The residual is a page-wide registration frame rather than a localization of identifier substitutions. High content with poor layout and typography reasonably reflects retained prose plus citation and math-token defects.,0.8734177215189873,0.7199999999999999,0.18226576667425984,0.7046378267911982,0.09905721575013436,0.2072790743049081,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/08_crossrefs_citations_003.json,2
AI018,18,none,moderate,moderate,none,minor,Both tables remain present but their scale and proportions change materially.,0.97,The candidate enlarges the page-1 grid and redraws the page-2 source table with denser rows and heavier borders.,codex_researcher_b,18,05_tables_simple_002,05_tables_simple,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,2,true,false,false,true,"The top residual covers the full first-page table area rather than a specific cell or table defect. The tables and their values are substantially retained despite scale changes, so the low content and near-zero typography scores are not credible.",0.601005025125628,0.9502923976608187,0.21859849006357665,0.7037713217381465,0.42987305245462015,0.3670251219121011,,0,0.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/05_tables_simple_002.json,2
AI019,19,major,major,major,none,major,Three of five formulas are exposed as raw command strings.,1.00,"Expressions 2, 3, and 4 appear as multi-line source text, while a duplicate document heading and extra numbering alter the page hierarchy.",codex_researcher_b,19,03_math_inline_display_001,03_math_inline_display,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,2,true,false,true,true,The enclosure spans the entire formula page instead of isolating the raw expressions. The low content and visual scores are consistent with three severely malformed equations and duplicated headings.,0.519174041297935,0.6666666666666666,0.18341443433051058,0.6820669815178977,0.08327107371093964,0.1787933848511328,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/03_math_inline_display_001.json,3
AI020,20,minor,minor,minor,none,minor,The figure is preserved but source-like caption text and closing wording change.,0.98,The candidate renders Gröbner differently from the visible reference and duplicates 'Figures Figure 1 through Figure 1'.,codex_researcher_b,20,07_figures_captions_015,07_figures_captions,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,true,true,The residual is a whole-page content frame rather than a localized caption defect. High content with poor appearance and layout is plausible for retained placeholders with malformed caption math and duplicated labels.,0.918918918918919,0.7499999999999999,0.16157604573781592,0.67846534200587,0.07955446758306212,0.04809395153836696,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/07_figures_captions_015.json,1
AI021,21,moderate,minor,minor,none,moderate,Source-key citations replace numeric references throughout the page.,0.99,The candidate changes [1] and [2] to [teinep] and [STR.55] and uses those keys again for all bibliography labels.,codex_researcher_b,21,08_crossrefs_citations_004,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,true,true,"The box covers the full reference body instead of the citation labels. High content together with poor layout is directionally consistent with retained prose, key-style citations, and major reflow.",0.8490566037735849,0.5714285714285715,0.1607042067218394,0.7317499487202282,0.09905721575013436,0.13246765111298803,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/08_crossrefs_citations_004.json,2
AI022,22,minor,moderate,minor,none,minor,The long extracted item is preserved but some math is exposed and the block is substantially reflowed.,0.97,The candidate compresses the paragraph into a narrower upper block and leaves a source-like Phi token visible near its middle.,codex_researcher_b,22,02_lists_formatting_006,02_lists_formatting,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,1,true,false,false,true,"The residual is page-wide and does not isolate the remaining raw Phi token. The long item and its structure are mostly faithful, so zero layout and very low typography are too punitive.",0.966360856269113,0.3636363636363636,0.14679995985196995,0.7375520126827714,0.008298008086413849,0.39217343258379606,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/02_lists_formatting_006.json,2
AI023,23,none,minor,minor,none,none,All five expressions are rendered faithfully with mild compaction.,0.99,Formula structure and ordering match the reference; the candidate block is only smaller and higher.,codex_researcher_b,23,03_math_inline_display_010,03_math_inline_display,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,false,false,true,"The enclosure is a broad page frame. All five formulas remain legible and substantively faithful with moderate compaction, making the low content and near-zero visual scores implausible.",0.5577464788732395,0.9782608695652174,0.22504623853668235,0.6889681010286269,0.04244399158174833,0.13926304863228797,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/03_math_inline_display_010.json,1
AI024,24,minor,moderate,minor,none,minor,"All three figures remain, but math captions and closing reference text differ.",0.98,The candidate renders subscripts in the captions and duplicates 'Figures Figure 1 through Figure 3' while compressing the figure stack.,codex_researcher_b,24,07_figures_captions_008,07_figures_captions,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,false,true,true,"The residual covers the full figure stack rather than the caption math defects. High content with weak layout, typography, and appearance is supported by severe compaction and duplicated figure wording.",0.9365079365079365,0.8571428571428571,0.31974370537153274,0.673429354280679,0.04813167058900167,0.11169881818611818,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/07_figures_captions_008.json,2
AI025,25,none,minor,minor,none,none,Prose sections and inline mathematics are faithfully retained with modest reflow.,0.99,"Title, abstract, metadata, and discussion appear in the same order; the candidate block is slightly smaller and higher.",codex_researcher_b,25,01_prose_sections_006,01_prose_sections,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,false,false,true,"The residual is a whole-page text frame. The prose and equations are retained with ordinary reflow, so the zero layout and very low typography scores overstate the difference.",0.9032258064516128,0.7692307692307693,0.1175336853964729,0.7201462375845723,0.09905721575013436,0.20784523075215441,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/01_prose_sections_006.json,1
AI026,26,minor,moderate,moderate,none,moderate,The algorithm remains readable but loses its numbered pseudocode hierarchy.,0.98,The candidate replaces numbered and indented steps with triangle bullets inside a box and changes math-variable formatting across the procedure.,codex_researcher_b,26,09_algorithms_017,09_algorithms,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,2,true,false,true,true,The box spans most of the page rather than isolating lost numbering and indentation. The low content and layout scores reasonably reflect conversion of structured pseudocode into a flattened boxed list.,0.6076923076923076,0.16,0.11326131503798981,0.7121151916345504,0.04244399158174833,0.26422553846430796,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/09_algorithms_017.json,2
AI027,27,none,major,moderate,major,none,Five formulas from two reference pages are compressed into one page.,0.99,The candidate moves reference expression 5 from page 2 onto the bottom of page 1 and tightens every vertical interval.,codex_researcher_b,27,04_math_aligned_011,04_math_aligned,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,true,false,true,"The cyan box correctly identifies the missing second reference page. Pagination and layout capture the two-to-one-page consolidation, but the low content score is not credible because the formulas remain intact.",0.4320712694877506,0.9411764705882353,0.6476347727286601,0.7016098007546053,0.034476726400631756,0.13652610146397784,,-1,0.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/04_math_aligned_011.json,3
AI028,28,minor,major,moderate,moderate,major,The three-page CV is reorganized into a different form hierarchy.,0.98,"The candidate removes the reference's two-column label/value grid, moves research and skills fields between pages, and leaves a mostly empty signature page.",codex_researcher_b,28,11_forms_cv_letters_001,11_forms_cv_letters,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,true,false,"The residual covers most of the third page rather than a discrete form field. Moderate content with poor layout is plausible for a radically reorganized three-page CV, and the canvas sequence itself matches.",0.7043795620437956,0.4210526315789473,0.5214222283686587,0.7089551857280828,0.15789098310594846,0.11935884608257025,,0,0.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/11_forms_cv_letters_001.json,3
AI029,29,none,minor,minor,none,none,The single extracted item is faithfully reproduced with mild compaction.,0.99,The figure-description prose and inline ratios remain intact; only the line wrapping and top position differ.,codex_researcher_b,29,02_lists_formatting_002,02_lists_formatting,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,false,true,"The enclosure is a page-wide registration frame. The single list item is faithfully rendered with mild reflow, so zero layout and very low typography are substantially too harsh.",0.8961038961038962,0.8333333333333333,0.23766608713656404,0.71387177529933,0.04244399158174833,0.15315233521689497,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/02_lists_formatting_002.json,1
AI030,30,moderate,moderate,minor,none,moderate,Rendered math and source-key citations diverge from the visibly source-like reference.,0.98,"The candidate typesets abstract expressions, replaces numeric citations with rg:f keys, and duplicates 'Section' and 'Equation' in the cross-reference sentence.",codex_researcher_b,30,08_crossrefs_citations_007,08_crossrefs_citations,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,2,true,false,true,true,The residual covers the whole body rather than the raw-versus-rendered math and citation differences. High content with weak visual axes is plausible because the candidate preserves meaning while changing the reference's visibly raw tokens.,0.8338192419825072,0.8,0.4166402459632201,0.726177227777083,0.09905721575013436,0.2150602087569792,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/08_crossrefs_citations_007.json,2
AI031,31,major,major,major,none,major,All five displayed formulas become raw source text.,1.00,"Every expression region contains dollar delimiters, backslash commands, or brace-heavy strings rather than the reference mathematical layout.",codex_researcher_b,31,03_math_inline_display_002,03_math_inline_display,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v2,prompts/latex_to_typst/system_v2.txt,75c2caa24a1ab6e775b23bb224820bb621cf9ca413e915d2cfebbc5d6ba3c173,2,true,false,true,true,The box is page-wide and does not localize an individual equation. The very low content and visual scores agree with all five formulas appearing as raw source-like text.,0.35779816513761464,0.6956521739130436,0.13111638609391535,0.7277472898989894,0.04244399158174833,0.2526077663888548,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/03_math_inline_display_002.json,3
AI032,32,minor,minor,minor,none,minor,The two figures remain but caption math and closing wording differ.,0.98,The candidate renders N in both captions and duplicates 'Figures Figure 1 through Figure 2'; the placeholder geometry is otherwise similar.,codex_researcher_b,32,07_figures_captions_005,07_figures_captions,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v1,prompts/latex_to_typst/system_v1.txt,0877384cc89636ecbb3cf27b41de3201d9d9a483d8a6aba120a771cb8b4af08d,1,true,false,true,true,The residual encloses the complete figure stack rather than the malformed captions. High content with near-zero layout and typography is directionally plausible for preserved placeholders that are heavily compressed and mislabeled.,0.9130434782608695,0.8,0.21821422252250408,0.6836266825847807,0.11143688783946161,0.1821944653268877,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/07_figures_captions_005.json,1
AI033,33,minor,major,minor,none,moderate,The letter loses its date and reorganizes several form fields.,0.99,"The candidate omits '13. Juli 2026', moves the sender block to the upper right, and changes the distribution label from Verteiler to Kopie.",codex_researcher_b,33,11_forms_cv_letters_010,11_forms_cv_letters,google/gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,v0,prompts/latex_to_typst/system_v0.txt,c8554a7c1346484b7f0333ec0a30f1bfdaf7c208e5030fae53052ea7115940ed,1,true,false,true,false,"The residual covers nearly the entire letter, not the omitted date and moved address blocks. High content with weak spatial scores is plausible, and canvas sequence match indicates no canvas confound.",0.9659863945578231,0.6666666666666666,0.658581603834724,0.7148738631699096,0.08327107371093964,0.23822428575041094,,0,1.0,0.0,results/metric_research_v2/gemini_frozen_156/evidence/11_forms_cv_letters_010.json,3
