comparison_id,sample_id,category,system_id,display_label,protocol_id,reference_pdf,candidate_pdf
04_math_aligned_003__pandoc,04_math_aligned_003,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_003/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_003/pandoc.pdf
04_math_aligned_003__typetex,04_math_aligned_003,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_003/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_003/typetex.pdf
04_math_aligned_004__pandoc,04_math_aligned_004,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_004/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_004/pandoc.pdf
04_math_aligned_004__typetex,04_math_aligned_004,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_004/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_004/typetex.pdf
04_math_aligned_005__pandoc,04_math_aligned_005,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_005/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_005/pandoc.pdf
04_math_aligned_006__pandoc,04_math_aligned_006,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_006/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_006/pandoc.pdf
04_math_aligned_006__typetex,04_math_aligned_006,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_006/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_006/typetex.pdf
04_math_aligned_007__pandoc,04_math_aligned_007,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_007/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_007/pandoc.pdf
04_math_aligned_007__typetex,04_math_aligned_007,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_007/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_007/typetex.pdf
04_math_aligned_008__typetex,04_math_aligned_008,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_008/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_008/typetex.pdf
04_math_aligned_009__pandoc,04_math_aligned_009,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_009/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_009/pandoc.pdf
04_math_aligned_010__pandoc,04_math_aligned_010,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_010/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_010/pandoc.pdf
04_math_aligned_010__typetex,04_math_aligned_010,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_010/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_010/typetex.pdf
04_math_aligned_011__pandoc,04_math_aligned_011,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_011/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_011/pandoc.pdf
04_math_aligned_011__typetex,04_math_aligned_011,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_011/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_011/typetex.pdf
04_math_aligned_012__typetex,04_math_aligned_012,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_012/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_012/typetex.pdf
04_math_aligned_013__pandoc,04_math_aligned_013,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_013/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_013/pandoc.pdf
04_math_aligned_013__typetex,04_math_aligned_013,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_013/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_013/typetex.pdf
04_math_aligned_014__pandoc,04_math_aligned_014,04_math_aligned,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_014/pandoc.pdf
04_math_aligned_014__typetex,04_math_aligned_014,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_014/typetex.pdf
04_math_aligned_015__typetex,04_math_aligned_015,04_math_aligned,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_015/reference.pdf,results/latex_benchmark_v0/04_math_aligned/04_math_aligned_015/typetex.pdf
05_tables_simple_001__pandoc,05_tables_simple_001,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_001/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_001/pandoc.pdf
05_tables_simple_001__tylax,05_tables_simple_001,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_001/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_001/tylax.pdf
05_tables_simple_001__typetex,05_tables_simple_001,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_001/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_001/typetex.pdf
05_tables_simple_002__pandoc,05_tables_simple_002,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_002/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_002/pandoc.pdf
05_tables_simple_002__tylax,05_tables_simple_002,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_002/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_002/tylax.pdf
05_tables_simple_002__typetex,05_tables_simple_002,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_002/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_002/typetex.pdf
05_tables_simple_005__pandoc,05_tables_simple_005,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/pandoc.pdf
05_tables_simple_005__tylax,05_tables_simple_005,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/tylax.pdf
05_tables_simple_005__typetex,05_tables_simple_005,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_005/typetex.pdf
05_tables_simple_006__pandoc,05_tables_simple_006,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_006/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_006/pandoc.pdf
05_tables_simple_006__tylax,05_tables_simple_006,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_006/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_006/tylax.pdf
05_tables_simple_006__typetex,05_tables_simple_006,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_006/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_006/typetex.pdf
05_tables_simple_007__pandoc,05_tables_simple_007,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_007/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_007/pandoc.pdf
05_tables_simple_007__tylax,05_tables_simple_007,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_007/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_007/tylax.pdf
05_tables_simple_007__typetex,05_tables_simple_007,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_007/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_007/typetex.pdf
05_tables_simple_011__pandoc,05_tables_simple_011,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_011/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_011/pandoc.pdf
05_tables_simple_011__tylax,05_tables_simple_011,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_011/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_011/tylax.pdf
05_tables_simple_011__typetex,05_tables_simple_011,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_011/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_011/typetex.pdf
05_tables_simple_012__pandoc,05_tables_simple_012,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_012/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_012/pandoc.pdf
05_tables_simple_012__tylax,05_tables_simple_012,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_012/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_012/tylax.pdf
05_tables_simple_012__typetex,05_tables_simple_012,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_012/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_012/typetex.pdf
05_tables_simple_014__pandoc,05_tables_simple_014,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_014/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_014/pandoc.pdf
05_tables_simple_014__tylax,05_tables_simple_014,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_014/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_014/tylax.pdf
05_tables_simple_014__typetex,05_tables_simple_014,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_014/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_014/typetex.pdf
05_tables_simple_015__pandoc,05_tables_simple_015,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_015/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_015/pandoc.pdf
05_tables_simple_015__tylax,05_tables_simple_015,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_015/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_015/tylax.pdf
05_tables_simple_015__typetex,05_tables_simple_015,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_015/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_015/typetex.pdf
05_tables_simple_017__pandoc,05_tables_simple_017,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_017/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_017/pandoc.pdf
05_tables_simple_017__tylax,05_tables_simple_017,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_017/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_017/tylax.pdf
05_tables_simple_017__typetex,05_tables_simple_017,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_017/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_017/typetex.pdf
05_tables_simple_018__pandoc,05_tables_simple_018,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_018/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_018/pandoc.pdf
05_tables_simple_018__tylax,05_tables_simple_018,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_018/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_018/tylax.pdf
05_tables_simple_018__typetex,05_tables_simple_018,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_018/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_018/typetex.pdf
05_tables_simple_020__pandoc,05_tables_simple_020,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_020/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_020/pandoc.pdf
05_tables_simple_020__tylax,05_tables_simple_020,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_020/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_020/tylax.pdf
05_tables_simple_020__typetex,05_tables_simple_020,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_020/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_020/typetex.pdf
05_tables_simple_021__pandoc,05_tables_simple_021,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/pandoc.pdf
05_tables_simple_021__tylax,05_tables_simple_021,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/tylax.pdf
05_tables_simple_021__typetex,05_tables_simple_021,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_021/typetex.pdf
05_tables_simple_023__pandoc,05_tables_simple_023,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/pandoc.pdf
05_tables_simple_023__tylax,05_tables_simple_023,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/tylax.pdf
05_tables_simple_023__typetex,05_tables_simple_023,05_tables_simple,typetex,TypeTeX,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_023/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_023/typetex.pdf
05_tables_simple_024__pandoc,05_tables_simple_024,05_tables_simple,pandoc,Pandoc,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_024/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_024/pandoc.pdf
05_tables_simple_024__tylax,05_tables_simple_024,05_tables_simple,tylax,Tylax,deterministic_engine,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_024/reference.pdf,results/latex_benchmark_v0/05_tables_simple/05_tables_simple_024/tylax.pdf
