sample_id,category,complexity_band,attempt,error_class,eventual_result,summary,log_path
04_math_aligned_007,04_math_aligned,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: table,samples/04_math_aligned_007/attempt_2_compile.log
04_math_aligned_009,04_math_aligned,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: ijk,samples/04_math_aligned_009/attempt_1_compile.log
04_math_aligned_009,04_math_aligned,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: ij,samples/04_math_aligned_009/attempt_2_compile.log
04_math_aligned_010,04_math_aligned,heldout,1,math_syntax,repaired,error: unknown symbol modifier,samples/04_math_aligned_010/attempt_1_compile.log
04_math_aligned_011,04_math_aligned,heldout,1,math_syntax,repaired,error: unclosed delimiter,samples/04_math_aligned_011/attempt_1_compile.log
04_math_aligned_013,04_math_aligned,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: none,samples/04_math_aligned_013/attempt_1_compile.log
04_math_aligned_013,04_math_aligned,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: otimes,samples/04_math_aligned_013/attempt_2_compile.log
04_math_aligned_015,04_math_aligned,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: lesssim,samples/04_math_aligned_015/attempt_1_compile.log
04_math_aligned_015,04_math_aligned,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: lesssim,samples/04_math_aligned_015/attempt_2_compile.log
05_tables_simple_001,05_tables_simple,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: qrt,samples/05_tables_simple_001/attempt_1_compile.log
05_tables_simple_001,05_tables_simple,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: qrt,samples/05_tables_simple_001/attempt_2_compile.log
05_tables_simple_002,05_tables_simple,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: qrt,samples/05_tables_simple_002/attempt_1_compile.log
05_tables_simple_002,05_tables_simple,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: qrt,samples/05_tables_simple_002/attempt_2_compile.log
05_tables_simple_006,05_tables_simple,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/05_tables_simple_006/attempt_1_compile.log
05_tables_simple_006,05_tables_simple,heldout,2,general_syntax,final_failure,"error: expected length, color, gradient, tiling, dictionary, stroke, or none, found function",samples/05_tables_simple_006/attempt_2_compile.log
05_tables_simple_007,05_tables_simple,heldout,1,general_syntax,final_failure,error: unexpected hat,samples/05_tables_simple_007/attempt_1_compile.log
05_tables_simple_007,05_tables_simple,heldout,2,general_syntax,final_failure,error: unexpected hat,samples/05_tables_simple_007/attempt_2_compile.log
05_tables_simple_011,05_tables_simple,heldout,1,general_syntax,final_failure,"error: unexpected keys ""top"" and ""bottom"", valid keys are ""paint"", ""thickness"", ""cap"", ""join"", ""dash"", and ""miter-limit""",samples/05_tables_simple_011/attempt_1_compile.log
05_tables_simple_011,05_tables_simple,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: elta,samples/05_tables_simple_011/attempt_2_compile.log
05_tables_simple_012,05_tables_simple,heldout,1,other_compile_error,final_failure,error: unknown symbol modifier,samples/05_tables_simple_012/attempt_1_compile.log
05_tables_simple_012,05_tables_simple,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: down,samples/05_tables_simple_012/attempt_2_compile.log
05_tables_simple_014,05_tables_simple,heldout,1,general_syntax,final_failure,error: unexpected underscore,samples/05_tables_simple_014/attempt_1_compile.log
05_tables_simple_014,05_tables_simple,heldout,2,general_syntax,final_failure,error: unexpected hat,samples/05_tables_simple_014/attempt_2_compile.log
05_tables_simple_015,05_tables_simple,heldout,1,general_syntax,repaired,error: unexpected hat,samples/05_tables_simple_015/attempt_1_compile.log
05_tables_simple_017,05_tables_simple,heldout,1,math_syntax,final_failure,error: unexpected hat,samples/05_tables_simple_017/attempt_1_compile.log
05_tables_simple_017,05_tables_simple,heldout,2,math_syntax,final_failure,error: unexpected hat,samples/05_tables_simple_017/attempt_2_compile.log
05_tables_simple_018,05_tables_simple,heldout,1,general_syntax,final_failure,"error: unexpected keys ""top"" and ""bottom"", valid keys are ""paint"", ""thickness"", ""cap"", ""join"", ""dash"", and ""miter-limit""",samples/05_tables_simple_018/attempt_1_compile.log
05_tables_simple_018,05_tables_simple,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: igma,samples/05_tables_simple_018/attempt_2_compile.log
05_tables_simple_025,05_tables_simple,heldout,1,general_syntax,repaired,error: unclosed delimiter,samples/05_tables_simple_025/attempt_1_compile.log
05_tables_simple_027,05_tables_simple,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/05_tables_simple_027/attempt_1_compile.log
05_tables_simple_027,05_tables_simple,heldout,2,general_syntax,final_failure,error: unclosed delimiter,samples/05_tables_simple_027/attempt_2_compile.log
05_tables_simple_028,05_tables_simple,heldout,1,reference_or_label,final_failure,error: unclosed delimiter,samples/05_tables_simple_028/attempt_1_compile.log
05_tables_simple_028,05_tables_simple,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: section,samples/05_tables_simple_028/attempt_2_compile.log
06_tables_moderate_007,06_tables_moderate,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: idetilde,samples/06_tables_moderate_007/attempt_1_compile.log
06_tables_moderate_012,06_tables_moderate,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_012/attempt_1_compile.log
06_tables_moderate_012,06_tables_moderate,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: elta,samples/06_tables_moderate_012/attempt_2_compile.log
06_tables_moderate_013,06_tables_moderate,heldout,1,other_compile_error,repaired,error: cannot multiply integer with auto,samples/06_tables_moderate_013/attempt_1_compile.log
06_tables_moderate_014,06_tables_moderate,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_014/attempt_1_compile.log
06_tables_moderate_014,06_tables_moderate,heldout,2,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_014/attempt_2_compile.log
06_tables_moderate_015,06_tables_moderate,heldout,1,general_syntax,repaired,error: unclosed delimiter,samples/06_tables_moderate_015/attempt_1_compile.log
06_tables_moderate_017,06_tables_moderate,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_017/attempt_1_compile.log
06_tables_moderate_017,06_tables_moderate,heldout,2,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_017/attempt_2_compile.log
06_tables_moderate_019,06_tables_moderate,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: ho,samples/06_tables_moderate_019/attempt_1_compile.log
06_tables_moderate_019,06_tables_moderate,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: cm,samples/06_tables_moderate_019/attempt_2_compile.log
06_tables_moderate_029,06_tables_moderate,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_029/attempt_1_compile.log
06_tables_moderate_029,06_tables_moderate,heldout,2,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_029/attempt_2_compile.log
06_tables_moderate_030,06_tables_moderate,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_030/attempt_1_compile.log
06_tables_moderate_030,06_tables_moderate,heldout,2,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_030/attempt_2_compile.log
06_tables_moderate_031,06_tables_moderate,heldout,1,general_syntax,final_failure,"error: expected auto, relative length, or fraction, found integer",samples/06_tables_moderate_031/attempt_1_compile.log
06_tables_moderate_031,06_tables_moderate,heldout,2,general_syntax,final_failure,error: unclosed delimiter,samples/06_tables_moderate_031/attempt_2_compile.log
06_tables_moderate_033,06_tables_moderate,heldout,1,other_compile_error,final_failure,error: unknown symbol modifier,samples/06_tables_moderate_033/attempt_1_compile.log
06_tables_moderate_033,06_tables_moderate,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: up,samples/06_tables_moderate_033/attempt_2_compile.log
07_figures_captions_006,07_figures_captions,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: ma,samples/07_figures_captions_006/attempt_1_compile.log
07_figures_captions_006,07_figures_captions,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: circ,samples/07_figures_captions_006/attempt_2_compile.log
07_figures_captions_008,07_figures_captions,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: an,samples/07_figures_captions_008/attempt_1_compile.log
07_figures_captions_012,07_figures_captions,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: athcal,samples/07_figures_captions_012/attempt_1_compile.log
08_crossrefs_citations_002,08_crossrefs_citations,heldout,1,reference_or_label,final_failure,error: unclosed label,samples/08_crossrefs_citations_002/attempt_1_compile.log
08_crossrefs_citations_002,08_crossrefs_citations,heldout,2,reference_or_label,final_failure,error: cannot reference heading without numbering,samples/08_crossrefs_citations_002/attempt_2_compile.log
08_crossrefs_citations_003,08_crossrefs_citations,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: sl,samples/08_crossrefs_citations_003/attempt_1_compile.log
08_crossrefs_citations_003,08_crossrefs_citations,heldout,2,reference_or_label,final_failure,error: cannot reference heading without numbering,samples/08_crossrefs_citations_003/attempt_2_compile.log
08_crossrefs_citations_005,08_crossrefs_citations,heldout,1,reference_or_label,repaired,error: cannot reference equation without numbering,samples/08_crossrefs_citations_005/attempt_1_compile.log
08_crossrefs_citations_006,08_crossrefs_citations,heldout,1,reference_or_label,repaired,error: cannot reference equation without numbering,samples/08_crossrefs_citations_006/attempt_1_compile.log
08_crossrefs_citations_007,08_crossrefs_citations,heldout,1,reference_or_label,repaired,error: cannot reference heading without numbering,samples/08_crossrefs_citations_007/attempt_1_compile.log
08_crossrefs_citations_009,08_crossrefs_citations,heldout,1,reference_or_label,repaired,error: cannot reference heading without numbering,samples/08_crossrefs_citations_009/attempt_1_compile.log
08_crossrefs_citations_010,08_crossrefs_citations,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: aff,samples/08_crossrefs_citations_010/attempt_1_compile.log
08_crossrefs_citations_010,08_crossrefs_citations,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: su,samples/08_crossrefs_citations_010/attempt_2_compile.log
08_crossrefs_citations_011,08_crossrefs_citations,heldout,1,reference_or_label,repaired,error: cannot reference heading without numbering,samples/08_crossrefs_citations_011/attempt_1_compile.log
08_crossrefs_citations_014,08_crossrefs_citations,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/08_crossrefs_citations_014/attempt_1_compile.log
08_crossrefs_citations_014,08_crossrefs_citations,heldout,2,reference_or_label,final_failure,error: cannot reference equation without numbering,samples/08_crossrefs_citations_014/attempt_2_compile.log
08_crossrefs_citations_015,08_crossrefs_citations,heldout,1,reference_or_label,repaired,error: cannot reference equation without numbering,samples/08_crossrefs_citations_015/attempt_1_compile.log
09_algorithms_001,09_algorithms,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_001/attempt_1_compile.log
09_algorithms_001,09_algorithms,heldout,2,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_001/attempt_2_compile.log
09_algorithms_008,09_algorithms,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: Ord,samples/09_algorithms_008/attempt_1_compile.log
09_algorithms_009,09_algorithms,heldout,1,reference_or_label,repaired,error: label `<Outer_Loop:eq>` does not exist in the document,samples/09_algorithms_009/attempt_1_compile.log
09_algorithms_017,09_algorithms,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: Min,samples/09_algorithms_017/attempt_1_compile.log
09_algorithms_017,09_algorithms,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: append,samples/09_algorithms_017/attempt_2_compile.log
09_algorithms_018,09_algorithms,heldout,1,general_syntax,final_failure,error: unclosed delimiter,samples/09_algorithms_018/attempt_1_compile.log
09_algorithms_018,09_algorithms,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: uu,samples/09_algorithms_018/attempt_2_compile.log
10_compact_papers_001,10_compact_papers,heldout,1,general_syntax,repaired,error: expected expression,samples/10_compact_papers_001/attempt_1_compile.log
10_compact_papers_002,10_compact_papers,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: riangle,samples/10_compact_papers_002/attempt_1_compile.log
10_compact_papers_004,10_compact_papers,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: math,samples/10_compact_papers_004/attempt_1_compile.log
10_compact_papers_005,10_compact_papers,heldout,1,unknown_symbol_or_function,final_failure,error: unknown variable: um,samples/10_compact_papers_005/attempt_1_compile.log
10_compact_papers_005,10_compact_papers,heldout,2,reference_or_label,final_failure,error: cannot reference equation without numbering,samples/10_compact_papers_005/attempt_2_compile.log
10_compact_papers_006,10_compact_papers,heldout,1,general_syntax,final_failure,error: expected expression,samples/10_compact_papers_006/attempt_1_compile.log
10_compact_papers_006,10_compact_papers,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: SU,samples/10_compact_papers_006/attempt_2_compile.log
10_compact_papers_011,10_compact_papers,heldout,1,math_syntax,final_failure,error: invalid number suffix: B,samples/10_compact_papers_011/attempt_1_compile.log
10_compact_papers_011,10_compact_papers,heldout,2,unknown_symbol_or_function,final_failure,error: unknown variable: SL,samples/10_compact_papers_011/attempt_2_compile.log
10_compact_papers_012,10_compact_papers,heldout,1,unknown_symbol_or_function,repaired,error: unknown variable: hi,samples/10_compact_papers_012/attempt_1_compile.log
