blind_index,blind_sheet,sheet_position,case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes,reviewer
"17","5","1","9B49B0F76A7B","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"18","5","2","FB892982CBEC","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"19","5","3","0F6054328A19","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"20","5","4","722FE01F45B4","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"21","6","1","C978CD70E2E7","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"22","6","2","DAE0787B5444","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"23","6","3","8250394BBEF3","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"24","6","4","56623D8D665C","A","content","Expression 2","0.99","false","Black rectangle occludes part of Expression 2 in panel A.","codex_blind_reaudit_v1"
"25","7","1","344B9FE78106","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"26","7","2","F78E21E0CCFE","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"27","7","3","71FB3B98F5AB","A","content","Expression 4","0.99","false","Black rectangle occludes part of Expression 4 in panel A.","codex_blind_reaudit_v1"
"28","7","4","4BE56C2DF23D","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"29","8","1","725A537B7E7B","B","content","Expression 3","0.99","false","Black bar occludes part of Expression 3 in panel B.","codex_blind_reaudit_v1"
"30","8","2","F814C56AC42A","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"31","8","3","30C0774C6C89","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"32","8","4","07CD7E104F11","A","content","Middle table body","0.99","false","Large black rectangle occludes multiple table rows in panel A.","codex_blind_reaudit_v1"
"33","9","1","27D1394B8BB5","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"34","9","2","C4A4843ED510","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"35","9","3","8805BAF66AEB","A","content","Extracted Prose 1 paragraph","0.99","false","Black bar occludes text in Extracted Prose 1 in panel A.","codex_blind_reaudit_v1"
"36","9","4","2A975B24E9B6","B","content","Address line near the top of the letter","0.98","false","Black bar occludes part of the address line in panel B.","codex_blind_reaudit_v1"
"37","10","1","1B2BC50400C9","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"38","10","2","DADEDC2FF864","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"39","10","3","59D16444706F","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"40","10","4","4CEB534AB100","A","content","Extracted Prose 1 paragraph","0.99","false","Black bar occludes text in Extracted Prose 1 in panel A.","codex_blind_reaudit_v1"
"41","11","1","BD3E5DE48DCD","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"42","11","2","01DF3B40A0BE","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"43","11","3","2CB3A5DF7E2F","A","layout","References-and-citations inline sentence","0.86","false","Panel A has conspicuous gaps and detached tokens in the inline cross-reference sentence.","codex_blind_reaudit_v1"
"44","11","4","8B3054B09529","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"45","12","1","AC03247E0D06","B","content","Figure 2 placeholder","0.99","false","A solid black square appears inside the Figure 2 placeholder in panel B.","codex_blind_reaudit_v1"
"46","12","2","53F278623F0F","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"47","12","3","D3510E30A739","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"48","12","4","8DCB174DF9D3","A","content","Figure 1 caption","0.92","false","Panel A has a visible missing span in the Figure 1 caption.","codex_blind_reaudit_v1"
"49","13","1","8AB21EDD53F4","A","content","Introductory paragraph above the algorithm","0.99","false","Black bar occludes the introductory paragraph in panel A.","codex_blind_reaudit_v1"
"50","13","2","157B85650F52","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"51","13","3","7640AF13D69D","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"52","13","4","699CCDF6A868","B","content","Document title","0.99","false","Black bar occludes part of the document title in panel B.","codex_blind_reaudit_v1"
"53","14","1","7F8D2C7BFE47","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"54","14","2","EE91E38924AF","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"55","14","3","8678C142DBC9","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"56","14","4","FDD22CDF4AFE","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"57","15","1","F43049EAFDA4","A","content","Middle table body","0.99","false","Black rectangle occludes table values in panel A.","codex_blind_reaudit_v1"
"58","15","2","C2679F976FFA","B","appearance","Table header rule","0.86","false","Panel B contains an anomalously thick black horizontal bar at the table header.","codex_blind_reaudit_v1"
"59","15","3","9D19C6A80362","A","content","Central columns of the table","0.99","false","Large vertical black rectangle occludes table cells in panel A.","codex_blind_reaudit_v1"
"60","15","4","7D850B745BEB","B","content","Figure 1 caption","0.93","false","Panel B has a visible missing text span in the Figure 1 caption.","codex_blind_reaudit_v1"
"61","16","1","93D1D4CC425C","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"62","16","2","4C4D967E0F7F","A","content","Body paragraph of the letter","0.99","false","Black bar occludes part of the letter body in panel A.","codex_blind_reaudit_v1"
"63","16","3","8786E60AA011","B","content","Expression 1","0.99","false","Black bar occludes part of Expression 1 in panel B.","codex_blind_reaudit_v1"
"64","16","4","287DB9DB65D7","A","content","Sentence introducing Expression 2","0.99","false","Black bar occludes the Expression 2 introduction in panel A.","codex_blind_reaudit_v1"
"65","17","1","8D4372958770","A","content","Introductory paragraph above the extracted list","0.99","false","Black bar occludes the extracted-list introduction in panel A.","codex_blind_reaudit_v1"
"66","17","2","C3C0330F5686","B","content","Body paragraph of the letter","0.99","false","Black bar occludes part of the letter body in panel B.","codex_blind_reaudit_v1"
"67","17","3","145386FA3725","A","layout","References-and-citations inline sentence","0.86","false","Panel A has conspicuous gaps and detached tokens in the inline cross-reference sentence.","codex_blind_reaudit_v1"
"68","17","4","4FFF1FCF57E3","B","content","Lower table row","0.83","false","Panel B has visibly blank cells where panel A shows row content.","codex_blind_reaudit_v1"
"69","18","1","4A0B49B25EAB","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"70","18","2","5687C08AD40C","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"71","18","3","6D42480D0DEE","B","content","Central table columns","0.99","false","Large vertical black rectangle occludes table cells in panel B.","codex_blind_reaudit_v1"
"72","18","4","89E06E850970","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"73","19","1","AAD44091C670","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"74","19","2","7874AA9514C1","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"75","19","3","68C8001E4247","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"76","19","4","73B5E79A72C4","B","content","Expression 1","0.99","false","Black bar occludes part of Expression 1 in panel B.","codex_blind_reaudit_v1"
"77","20","1","96A49DA704AF","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"78","20","2","F34EB93FF329","A","content","Introductory paragraph above the list","0.99","false","Black bar occludes the list introduction in panel A.","codex_blind_reaudit_v1"
"79","20","3","4A5A241D12DE","A","content","Left edge of Expression 1","0.76","false","Panel A shows a dark occluding mark at the left edge of the equation.","codex_blind_reaudit_v1"
"80","20","4","534FDB38807C","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"81","21","1","6E058B14C7C5","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"82","21","2","644F7AD6A4EA","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"83","21","3","97C6355110A9","A","content","Source column in the middle of the table","0.99","false","Black rectangle occludes several source-column cells in panel A.","codex_blind_reaudit_v1"
"84","21","4","58CE02EB0F7F","B","layout","References-and-citations inline sentence","0.87","false","Panel B has conspicuous gaps and detached tokens in the inline cross-reference sentence.","codex_blind_reaudit_v1"
"85","22","1","5780AF8E3B0A","B","content","Lower table/list body, approximately rows 31-33","0.91","false","Panel B has a visible blank span where panel A contains row content.","codex_blind_reaudit_v1"
"86","22","2","DAF98007D366","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"87","22","3","0BA387B9A10A","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"88","22","4","12FC342700BF","A","content","Middle table body","0.99","false","Black rectangle occludes multiple table cells in panel A.","codex_blind_reaudit_v1"
"89","23","1","D1483F7619C9","A","content","Table row 24","0.88","false","Panel A has visibly blank cells in row 24.","codex_blind_reaudit_v1"
"90","23","2","8E4E990016B9","B","content","Middle table body, approximately rows 16-21","0.99","false","Large black block occludes multiple table rows in panel B.","codex_blind_reaudit_v1"
"91","23","3","06D597A6960C","A","content","Middle table body, approximately rows 9-12","0.99","false","Black rectangle occludes multiple table rows in panel A.","codex_blind_reaudit_v1"
"92","23","4","85F14387D26C","B","content","Lower table body","0.99","false","Large black block occludes lower table rows in panel B.","codex_blind_reaudit_v1"
"93","24","1","96E819C90176","B","content","Middle table body","0.99","false","Large black block occludes table rows in panel B.","codex_blind_reaudit_v1"
"94","24","2","ED766A65EDC7","A","content","Introductory sentence above the algorithm","0.92","false","Panel A has a visible missing text span immediately before the phrase about pdfLaTeX.","codex_blind_reaudit_v1"
"95","24","3","1E0DE45F9F17","B","content","Figure placeholder","0.99","false","Black rectangle appears inside the figure placeholder in panel B.","codex_blind_reaudit_v1"
"96","24","4","7E819A104971","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"97","25","1","2EC2626EE5DB","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"98","25","2","29238438509B","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"99","25","3","1127684BD758","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"100","25","4","D0981C131C85","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"101","26","1","AC5E7B469941","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"102","26","2","615D94558E7C","A","content","Body paragraph of the letter","0.99","false","Black bar occludes part of the letter body in panel A.","codex_blind_reaudit_v1"
"103","26","3","5BD44E9D38F7","B","content","Figure 2 caption","0.99","false","Black bar occludes part of the Figure 2 caption in panel B.","codex_blind_reaudit_v1"
"104","26","4","88A81AA6A74D","A","content","Introductory body sentence","0.99","false","Black bar occludes part of the introductory sentence in panel A.","codex_blind_reaudit_v1"
"105","27","1","2C2D5D877557","A","layout","References-and-citations inline sentence","0.87","false","Panel A has conspicuous gaps and detached tokens in the inline cross-reference sentence.","codex_blind_reaudit_v1"
"106","27","2","B8E4DDD72317","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"107","27","3","C3E791124580","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"108","27","4","1888CC0AEDE5","B","content","Introductory paragraph","0.99","false","Thick black bar occludes part of the introductory paragraph in panel B.","codex_blind_reaudit_v1"
"109","28","1","094182458B12","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"110","28","2","4591E5C63AC8","A","content","Middle table body","0.99","false","Large black block occludes multiple table rows in panel A.","codex_blind_reaudit_v1"
"111","28","3","D8DA9354A606","B","content","Algorithm description","0.99","false","Thick black bar occludes part of the algorithm description in panel B.","codex_blind_reaudit_v1"
"112","28","4","A1522BAB668F","A","content","Expression 2","0.99","false","Black bar occludes part of Expression 2 in panel A.","codex_blind_reaudit_v1"
"113","29","1","7FD537847797","A","content","Figure 1 caption","0.99","false","Black bar occludes part of the Figure 1 caption in panel A.","codex_blind_reaudit_v1"
"114","29","2","173F53BFA424","B","content","Central table column","0.99","false","Vertical black rectangle occludes a table column in panel B.","codex_blind_reaudit_v1"
"115","29","3","DDE46A9B0F5A","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"116","29","4","8EDA4A951C13","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"117","30","1","EE8046BAC32E","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"118","30","2","E4ED5BE6E92A","A","content","Abstract","0.99","false","Black bar occludes part of the Abstract in panel A.","codex_blind_reaudit_v1"
"119","30","3","CF5B7B802609","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"120","30","4","B0C1F272F9DE","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"121","31","1","0BFDE723B47A","A","content","Figure placeholder","0.99","false","Black rectangle appears inside the figure placeholder in panel A.","codex_blind_reaudit_v1"
"122","31","2","D06C59166AA0","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"123","31","3","676933622E3E","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"124","31","4","55E1A2F30FDB","B","content","Abstract","0.99","false","Black bar occludes part of the Abstract in panel B.","codex_blind_reaudit_v1"
"125","32","1","F7007643E5A7","B","content","Expression 5","0.99","false","Black bar occludes part of Expression 5 in panel B.","codex_blind_reaudit_v1"
"126","32","2","0CF6FF5DAAAC","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"127","32","3","F5F758DCFED0","B","content","Body paragraph of the letter","0.99","false","Black bar occludes part of the letter body in panel B.","codex_blind_reaudit_v1"
"128","32","4","F5693C9E1608","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"129","33","1","F54759C9135A","A","content","Middle benchmark table/list","0.99","false","Large black rectangle occludes the middle of the benchmark table in panel A.","codex_blind_reaudit_v1"
"130","33","2","82B74055D251","B","content","Abstract","0.99","false","Black bar occludes part of the Abstract in panel B.","codex_blind_reaudit_v1"
"131","33","3","2CC985F5E549","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"132","33","4","D22CA4745A84","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"133","34","1","5BCFB4961DD4","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"134","34","2","09B5C3DAF47A","A","content","Middle table body","0.99","false","Large black rectangle occludes multiple table rows in panel A.","codex_blind_reaudit_v1"
"135","34","3","0B6F91F95316","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"136","34","4","FEE727DF7894","A","content","Middle of the Abstract","0.99","false","Black bar occludes part of the Abstract in panel A.","codex_blind_reaudit_v1"
"137","35","1","F234BB4E1B02","A","content","Figure 1 caption","0.99","false","Black bar occludes part of the Figure 1 caption in panel A.","codex_blind_reaudit_v1"
"138","35","2","7570F3748EE5","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"139","35","3","7E86078D5DAE","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"140","35","4","D52178896D3E","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"141","36","1","423A65BA02BE","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"142","36","2","B90515478061","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"143","36","3","FC20FBFA1382","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"144","36","4","532BF0CE9A78","A","content","Expression 3","0.99","false","Black bar occludes part of Expression 3 in panel A.","codex_blind_reaudit_v1"
"145","37","1","60097A131FEA","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"146","37","2","40906FA6AC63","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"147","37","3","632A83C7E833","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"148","37","4","82B2D98EF075","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"149","38","1","2D18D8E099A6","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"150","38","2","76024F1EF9A0","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"151","38","3","2578AD2945DA","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"152","38","4","5788B0666A3C","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"153","39","1","C5D6151C4FCF","A","content","Model-architecture parameter column","0.99","false","Large black rectangle occludes parameter values in panel A.","codex_blind_reaudit_v1"
"154","39","2","B6B1EBE29AD4","B","content","Expression 2","0.99","false","Black bar occludes part of Expression 2 in panel B.","codex_blind_reaudit_v1"
"155","39","3","9A7DC30A4F11","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"156","39","4","36C5A92ECDA0","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"157","40","1","77357E3D3B21","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"158","40","2","6A8B0D9A5089","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"159","40","3","E3F25B56B09A","B","content","Abstract Discussion paragraph","0.99","false","Black bar occludes part of the discussion paragraph in panel B.","codex_blind_reaudit_v1"
"160","40","4","9229752F77B7","A","content","Figure 1 caption","0.91","false","Panel A has a conspicuous missing span in the Figure 1 caption.","codex_blind_reaudit_v1"
"161","41","1","8E22CA170C6F","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"162","41","2","6CEAAF5A51AB","A","content","Expression 3","0.97","false","Black rectangle occludes part of Expression 3 in panel A.","codex_blind_reaudit_v1"
"163","41","3","DECAE825B190","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"164","41","4","BD1B554DEBD1","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"165","42","1","D524A9B3E522","B","content","Extracted Prose 1","0.99","false","Black bar occludes part of Extracted Prose 1 in panel B.","codex_blind_reaudit_v1"
"166","42","2","3E37680060CD","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"167","42","3","3CFF611FACDE","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"168","42","4","F3D549C145FA","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"169","43","1","1CE73DF33B36","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"170","43","2","01B6EA172426","B","content","Expression 1","0.99","false","Black bar occludes part of Expression 1 in panel B.","codex_blind_reaudit_v1"
"171","43","3","AE2498495509","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"172","43","4","1971C985BB1F","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"173","44","1","0260355F1F7D","B","content","Abstract","0.99","false","Black rectangle occludes part of the Abstract in panel B.","codex_blind_reaudit_v1"
"174","44","2","E86379AD7C8B","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"175","44","3","82CE3B04F73D","B","content","Extracted Prose 3","0.99","false","Black bar occludes part of Extracted Prose 3 in panel B.","codex_blind_reaudit_v1"
"176","44","4","395895013169","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"177","45","1","70221A0292F6","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"178","45","2","363AC2E1FDF8","B","content","Table body around rows 17-18","0.82","false","Panel B has a visible blank row span where panel A shows table entries.","codex_blind_reaudit_v1"
"179","45","3","84D93DA0DBFF","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"180","45","4","AF7D192BA34A","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"181","46","1","CA44C4B96185","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"182","46","2","D8D3E8C34BFC","A","content","Expression 4","0.99","false","Black bar occludes part of Expression 4 in panel A.","codex_blind_reaudit_v1"
"183","46","3","5020CDF150BF","B","content","Middle generated-text column","0.99","false","Large black rectangle occludes table text in panel B.","codex_blind_reaudit_v1"
