case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes
2D3FC8DFDCF3,B,appearance,black rectangular occlusion covering several middle rows of the word table,0.99,false,clear destructive block
138E3DB99442,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
213B423AE63A,A,appearance,black occlusion inside Expression 2 near the middle,0.99,false,clear local black bar
C51D953769C7,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
2E1FE7719B47,,unclear,no confidently visible difference,0.15,true,dense small table appears effectively identical at audit scale
7CC45B6BFFE2,A,appearance,black occlusion in the main letter paragraph at mid page,0.99,false,clear local black bar
D0125BC96A80,,unclear,no confidently visible difference,0.15,true,figure-caption panels appear effectively identical at audit scale
3CEEAB21C661,A,content,missing phrase after Fig. 1 Quantum in the extracted list text,0.94,false,visible large textual gap relative to the other panel
1B8847212397,B,appearance,black occlusion in the Education and training description near the lower middle,0.99,false,clear local black bar
84689DFE7109,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
8C777800EE2B,A,appearance,black rectangular occlusion in the second algorithm block,0.99,false,clear destructive block
3085C778FB52,B,appearance,black occlusion in the introductory sentence above the algorithm,0.99,false,clear local black bar
2CD25834E2E0,A,appearance,black occlusion across algorithm line 8 near the left-center,0.99,false,clear local black bar
7425A5EED444,,unclear,no confidently visible difference,0.15,true,dense text table appears effectively identical at audit scale
4600A2475BC6,B,appearance,black occlusion in the introductory sentence above the algorithm,0.99,false,clear local black bar
946733230CF9,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
6D811C197555,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
5899443EEB02,,unclear,no confidently visible difference,0.15,true,dense numeric table appears effectively identical at audit scale
91E277081BD3,A,appearance,black occlusion inside Expression 2 near the center,0.99,false,clear local black bar
234754ACB5BD,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
C624E5847F1A,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
02DFE24DACEF,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
6C7897738B26,B,appearance,long black horizontal occlusion across the middle of the algorithm,0.99,false,clear destructive bar
99558D920A3F,A,appearance,large black rectangular occlusion covering several central table entries,0.99,false,clear destructive block
A1E13958E2F5,,unclear,no confidently visible difference,0.15,true,figure-caption panels appear effectively identical at audit scale
71F4D73C62D1,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
AA66A41F7120,A,appearance,black occlusion inside Expression 2 near the center,0.99,false,clear local black bar
EE308FE936BF,,unclear,no confidently visible difference,0.15,true,extracted-prose panels appear effectively identical at audit scale
504947E9156A,A,appearance,black occlusion in list item iv near the middle-right,0.99,false,clear local black bar
9527F849FC26,A,appearance,black occlusion in the Abstract Discussion paragraph at mid-lower page,0.99,false,clear local black bar
C56944BD1573,,unclear,no confidently visible difference,0.15,true,letter panels appear effectively identical at audit scale
CBFACEED2ACA,A,appearance,large black horizontal occlusion covering many middle table rows,0.99,false,clear destructive block
B41AB5C5763E,,unclear,no confidently visible difference,0.15,true,figure-caption panels appear effectively identical at audit scale
E66D4399385A,B,content,missing the word Equation in the cross-reference sentence,0.96,false,visible gap between and and 1
D297935F909C,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
95A9BD436769,B,layout,first algorithm input line is split with its mathematical list displaced far right,0.91,false,conspicuous internal gap and broken reading flow
832204FE689A,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
51E56B3BACC6,,unclear,no confidently visible difference,0.15,true,dense numeric table appears effectively identical at audit scale
5AC818EFFF13,B,appearance,black occlusion in Extracted Prose 1 near the middle-right,0.99,false,clear local black bar
A22315821F18,A,content,missing the words Section and Equation in the cross-reference sentence,0.98,false,two conspicuous gaps before the numeral 1
E0E6173B6800,,unclear,no confidently visible difference,0.15,true,benchmark table appears effectively identical at audit scale
2F206065E811,B,appearance,black occlusion over the Shear Modulus row near the upper table,0.99,false,clear local black bar
99BF9DDF11C7,,unclear,no confidently visible difference,0.15,true,list and equations appear effectively identical at audit scale
0B7A6C710FC7,B,appearance,black occlusion in Extracted Prose 1 near the center,0.99,false,clear local black bar
05E85FA6DA82,A,appearance,black occlusion in the main letter paragraph at mid page,0.99,false,clear local black bar
D7F26E6CDCD0,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
AA9C436BFCBB,B,appearance,black occlusion in the first numbered list item near the center,0.99,false,clear local black bar
ACB307ED6903,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
13F987FEB793,,unclear,no confidently visible difference,0.15,true,figure-caption panels appear effectively identical at audit scale
35138A3530FB,B,appearance,black occlusion in the introductory sentence above the algorithm,0.99,false,clear local black bar
2BF6DA9C4645,A,appearance,black occlusion in the main letter paragraph at mid page,0.99,false,clear local black bar
658B6BA99BA4,B,appearance,black occlusion across the long description on algorithm line 4,0.99,false,clear local black bar
1EF483F4784A,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
6EBB8D787842,A,appearance,black occlusion in the explanatory sentence below Figure 2,0.99,false,clear local black bar
85EE9648E62B,,unclear,no confidently visible difference,0.15,true,figure-caption panels appear effectively identical at audit scale
9A322AFC1943,A,appearance,large black vertical occlusion over a central table column and several rows,0.99,false,clear destructive block
C66EF9159675,B,appearance,black occlusion inside the lone displayed Expression 5,0.99,false,clear local black bar
CD77F211AFAB,B,appearance,black occlusion in the prose line introducing Expression 2,0.99,false,clear local black bar
8B127598C2CE,A,appearance,black occlusion inside Expression 2 near the center-left,0.99,false,clear local black bar
0FEE75C62A61,B,appearance,black occlusion across the second line of the document title,0.99,false,clear local black bar
E7E165B24E8D,A,appearance,large black vertical occlusion over most of the Cleaned Model Name column,0.99,false,clear destructive block
70E01845ACFD,A,content,row 8 content is absent and row 9 is missing its word label,0.98,false,clear blank table entries while numbering and frequencies remain
A78EB8827517,B,appearance,black occlusion at the end of the Abstract Discussion sentence,0.99,false,clear local black bar
A6C59248FC9A,A,appearance,black rectangular occlusion inside the second figure placeholder,0.99,false,clear central block
50BD5C257BCE,,unclear,no confidently visible difference,0.15,true,structured parameter table appears effectively identical at audit scale
E2F58EEFDA94,B,appearance,black occlusion inside Expression 1 near the left-center,0.99,false,clear local black bar
9E452CA171AE,A,appearance,black occlusion in the Method paragraph at mid-lower page,0.99,false,clear local black bar
9F2C35DC22E9,B,appearance,black occlusion in the extracted list paragraph near the center,0.99,false,clear local black bar
3F1C02016C6F,A,content,missing the words Section and Equation in the cross-reference sentence,0.98,false,two conspicuous gaps before the numeral 1
CE4045270DB2,A,appearance,black occlusion in numbered list item 5 near the center,0.99,false,clear local black bar
12B05C858ACF,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
E0FFEAD949F8,A,appearance,black occlusion in list item iii near the center,0.99,false,clear local black bar
30661FCA6FFD,,unclear,no confidently visible difference,0.15,true,dense table panels appear effectively identical at audit scale
3981B4580D96,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
42D8638E3CE0,B,appearance,black occlusion in the Education and training description near the lower middle,0.99,false,clear local black bar
26829264949E,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
22D21916A3FF,,unclear,no confidently visible difference,0.15,true,extracted-prose panels appear effectively identical at audit scale
A0C687DCC113,,unclear,no confidently visible difference,0.15,true,extracted-prose panels appear effectively identical at audit scale
3B06AB53E530,B,content,missing opening words of a line in Extracted Prose 2 near the lower middle,0.92,false,conspicuous left-side gap before the phrase mean that
E03DD0C1BDB2,,unclear,no confidently visible difference,0.15,true,algorithm panels appear effectively identical at audit scale
2441EFA9B1D8,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
900C10EA8260,B,appearance,large black horizontal occlusion covering several middle table rows,0.99,false,clear destructive block
EDF311380073,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
162808C4A45B,B,appearance,black vertical occlusion over several Break Date cells in the middle of the table,0.99,false,clear destructive block
957591B5627D,A,content,missing the words Section and Equation in the cross-reference sentence,0.98,false,two conspicuous gaps before the numeral 1
4BA4B26679E3,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
6FE8B5C3155A,,unclear,no confidently visible difference,0.15,true,dense text table appears effectively identical at audit scale
6CBDCC4528C9,A,appearance,small black occlusion in the first line of the document title,0.97,false,visible local bar near the title center
DB26C06284DE,B,appearance,black occlusion in the abstract near the middle,0.99,false,clear local black bar
157EF62C9516,B,appearance,black occlusion inside Expression 2 near the center,0.99,false,clear local black bar
21BD35532B86,A,content,several target identifiers and distance values are missing from lower table rows,0.97,false,visible blank cells where panel B has complete entries
0DED30B92C6A,B,appearance,black occlusion across the middle of Expression 3,0.99,false,clear local black bar
3D15BA092209,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
980EE82DEB9C,,unclear,no confidently visible difference,0.15,true,extracted-prose panels appear effectively identical at audit scale
A590F8755F26,,unclear,no confidently visible difference,0.15,true,sparse letter panels appear effectively identical at audit scale
B946C22EFFE8,A,appearance,black occlusion inside Expression 3 near the center,0.99,false,clear local black bar
D97DC8E83337,B,appearance,black vertical occlusion over central rows of the Statement Template column,0.99,false,clear destructive block
87277F867267,,unclear,no confidently visible difference,0.15,true,figure-caption panels appear effectively identical at audit scale
1237E85601DA,,unclear,no confidently visible difference,0.15,true,extracted-prose panels appear effectively identical at audit scale
AF5E0C5D9143,B,appearance,black occlusion across the middle of Expression 2,0.99,false,clear local black bar
258C31E81E86,,unclear,no confidently visible difference,0.15,true,extracted-list panels appear effectively identical at audit scale
B74706C315C5,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
6E9F429D58FB,B,appearance,black occlusion in the main letter paragraph at mid page,0.99,false,clear local black bar
92AB74A1C30C,A,content,missing the words Section and Equation in the cross-reference sentence,0.98,false,two conspicuous gaps before the numeral 1
89D083BEB07C,B,appearance,black occlusion in the explanatory sentence below the figure placeholder,0.99,false,clear local black bar
ADF69AB2E4E8,B,appearance,black occlusion in the second line of the document title,0.99,false,clear local black bar
48ADF3A15307,A,appearance,black rectangular occlusion across the first figure caption,0.99,false,clear destructive block
BB644F649285,B,appearance,black occlusion inside Expression 1 near the right-center,0.99,false,clear local black bar
5C6D0857D493,,unclear,no confidently visible difference,0.15,true,extracted-prose panels appear effectively identical at audit scale
264B0BAC64A0,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
1BCC8962E637,,unclear,no confidently visible difference,0.15,true,extracted-list panels appear effectively identical at audit scale
06ED86CDEE37,A,appearance,black occlusion in the explanatory sentence below Figure 3,0.99,false,clear local black bar
EB857244084A,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
7F8262116CF6,B,appearance,black occlusion inside Expression 2 near the center-right,0.99,false,clear local black bar
D36347C924BC,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
429C2C97A629,B,content,missing words in the introductory sentence above the algorithm,0.94,false,conspicuous gap before pseudocode extracted
53C292062D8C,A,appearance,black occlusion across several cells in the middle of the table,0.99,false,clear local black bar
AD3A3198E7D0,A,content,several middle table rows are entirely blank,0.98,false,conspicuous empty band in an otherwise continuous dense table
40479150AE61,B,appearance,black occlusion in the explanatory sentence below Figure 3,0.99,false,clear local black bar
853DA4CE450E,A,appearance,black occlusion in list item ii of the second list group,0.99,false,clear local black bar
6A5DA1B93F20,B,appearance,black occlusion in Extracted Prose 1 near the center,0.99,false,clear local black bar
6DACFED2D3C2,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
1ECB752A8454,A,content,missing words in the sentence introducing Expression 1,0.94,false,conspicuous gap between from and formula corpus
378417A8F0D6,,unclear,no confidently visible difference,0.15,true,dense numeric table appears effectively identical at audit scale
757523A18DE5,,unclear,no confidently visible difference,0.15,true,dense numeric table appears effectively identical at audit scale
35C49A5B5D7E,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
954C830CCE4A,B,appearance,large black vertical occlusion over several Simple prompts rows,0.99,false,clear destructive block
1EF8DF49E27D,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
0F7B49FC6390,B,content,missing phrase in the main letter paragraph before den Vorstand,0.94,false,conspicuous internal gap in the sentence
D83A89D0CD7D,B,appearance,large black vertical occlusion over several Indian port rows,0.99,false,clear destructive block
320FFEF29464,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
5082702044AB,,unclear,no confidently visible difference,0.15,true,extracted-list panels appear effectively identical at audit scale
ECD187040C76,,unclear,no confidently visible difference,0.15,true,letter panels appear effectively identical at audit scale
0789569D8164,,unclear,no confidently visible difference,0.15,true,sparse numeric table appears effectively identical at audit scale
BEA957A4F372,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
3ECF0415AE41,A,appearance,long black horizontal occlusion across the middle of the algorithm,0.99,false,clear destructive bar
29545859B339,B,content,several language rows are missing near the lower part of the table,0.90,false,visible blank band before the Hebrew row
3BC72AACEF9B,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
FF36F359C461,A,appearance,large black vertical occlusion over most of the AEDGA2 column,0.99,false,clear destructive block
DF1D59D253BB,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
FCCDB0A477B7,A,appearance,black occlusion inside Expression 5 near the left-center,0.99,false,clear local black bar
3350F792A75D,A,content,rows 15 through 17 are missing most table values,0.98,false,conspicuous blank band while row numbering remains
EF5DB342AE0C,,unclear,no confidently visible difference,0.15,true,cross-reference page appears effectively identical at audit scale
521BB845B04E,,unclear,no confidently visible difference,0.15,true,structured text table appears effectively identical at audit scale
31565AC8374A,,unclear,no confidently visible difference,0.15,true,extracted-list panels appear effectively identical at audit scale
87DEB11BA17D,B,appearance,black occlusion in the introductory sentence above the numbered list,0.99,false,clear local black bar
F493F0253759,A,appearance,large black rectangular occlusion covering central cells of the Lie-bracket table,0.99,false,clear destructive block
40522E0F5933,,unclear,no confidently visible difference,0.15,true,algorithm panels appear effectively identical at audit scale
80C8B37038D8,,unclear,no confidently visible difference,0.15,true,extracted-prose panels appear effectively identical at audit scale
32D02E20AD11,,unclear,no confidently visible difference,0.15,true,word-frequency table panels appear effectively identical at audit scale
37116A0C5871,,unclear,no confidently visible difference,0.15,true,dense assay table appears effectively identical at audit scale
224E86A7A5D6,,unclear,no confidently visible difference,0.15,true,dense feature table appears effectively identical at audit scale
7D2218C614E1,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
18FEC0D55E0A,,unclear,no confidently visible difference,0.15,true,figure-caption panels appear effectively identical at audit scale
281B81824D05,A,appearance,black rectangular occlusion over central cells of the table,0.99,false,clear destructive block
B78230A2E7E0,B,appearance,long black horizontal occlusion across the table header,0.99,false,clear destructive bar
3E26177F9214,,unclear,no confidently visible difference,0.15,true,dense numeric table appears effectively identical at audit scale
811A69D3699F,,unclear,no confidently visible difference,0.15,true,dense equations appear effectively identical at audit scale
29D2B4A5D294,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
E29C5932AAB5,B,appearance,small black occlusions over row indices 8 and 9 near the upper-left of the table,0.97,false,visible dark blocks absent from panel A
646A060349E3,B,appearance,black occlusion in the introductory sentence above the numbered list,0.99,false,clear local black bar
F4AF9D407366,B,appearance,black rectangular occlusion across the first figure caption,0.99,false,clear destructive block
F08C91DC76E6,A,appearance,black occlusion in the introductory sentence above the numbered list,0.99,false,clear local black bar
432CAF6C7E88,,unclear,no confidently visible difference,0.15,true,curriculum-vitae panels appear effectively identical at audit scale
60686938138B,,unclear,no confidently visible difference,0.15,true,article panels appear effectively identical at audit scale
