blind_index,blind_sheet,sheet_position,case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes
43,11,3,2CB3A5DF7E2F,A,content,"cross-reference words deleted from the sentence below References and Citations",0.98,false,"A contains separated '1 and 1' fragments; B has the complete Section and Equation wording"
44,11,4,8B3054B09529,abstain,unclear,"no reliably discernible defect in the letter layout or text",0.20,true,"panels appear visually equivalent"
45,12,1,AC03247E0D06,B,appearance,"solid black square appears inside the second figure placeholder",1.00,false,"obvious figure-region occlusion"
46,12,2,53F278623F0F,abstain,unclear,"no reliably discernible defect across the formula groups",0.20,true,"panels appear visually equivalent"
47,12,3,D3510E30A739,abstain,unclear,"no reliably discernible defect in the extracted list",0.20,true,"panels appear visually equivalent"
48,12,4,8DCB174DF9D3,A,content,"words deleted from the middle of the first figure caption, leaving a wide gap",0.97,false,"B contains the complete phrase describing the position of cuts"
49,13,1,8AB21EDD53F4,A,appearance,"dark horizontal rule intrudes through the introductory algorithm sentence",0.91,false,"A has a heavy rule crossing text that is absent in B"
50,13,2,157B85650F52,abstain,unclear,"no reliably discernible defect in the dense table",0.20,true,"panels appear visually equivalent"
51,13,3,7640AF13D69D,A,appearance,"short dark occlusion marks the abstract phrase around 'spacetime axions'",0.88,false,"localized heavy mark is absent in B"
52,13,4,699CCDF6A868,B,appearance,"short dark occlusion crosses the second title line near 'Sine-Gordon'",0.93,false,"localized title-region mark is absent in A"
53,14,1,7F8D2C7BFE47,abstain,unclear,"no reliably discernible defect in the extracted lists",0.20,true,"panels appear visually equivalent"
54,14,2,EE91E38924AF,abstain,unclear,"no reliably discernible defect in the prose blocks",0.20,true,"panels appear visually equivalent"
55,14,3,8678C142DBC9,abstain,unclear,"no reliably discernible defect across the formula groups",0.20,true,"panels appear visually equivalent"
56,14,4,FDD22CDF4AFE,abstain,unclear,"no reliably discernible defect across the formula groups",0.20,true,"panels appear visually equivalent"
57,15,1,F43049EAFDA4,A,appearance,"large black block covers several middle rows and columns of the table",1.00,false,"obvious table-region occlusion"
58,15,2,C2679F976FFA,B,appearance,"abnormally heavy black horizontal band overlays the table's top rule",0.93,false,"B top border is much heavier than A"
59,15,3,9D19C6A80362,A,appearance,"large vertical black block covers most of a central table column",1.00,false,"obvious column occlusion"
60,15,4,7D850B745BEB,B,content,"words deleted from the center of the first figure caption",0.97,false,"A has the complete caption; B has a wide gap between clauses"
61,16,1,93D1D4CC425C,abstain,unclear,"no reliably discernible defect in the multi-section prose document",0.20,true,"panels appear visually equivalent"
62,16,2,4C4D967E0F7F,A,appearance,"short black occlusion in the middle of the first body paragraph",0.99,false,"localized bar covers words"
63,16,3,8786E60AA011,B,appearance,"long black occlusion spans the center of Expression 1",0.99,false,"bar visibly covers equation symbols"
64,16,4,287DB9DB65D7,A,appearance,"short black occlusion crosses the descriptive line above Expression 2",0.99,false,"bar interrupts the heading sentence"
65,17,1,8D4372958770,A,appearance,"small black occlusion covers text in the first extracted-list paragraph",0.99,false,"localized bar in upper prose block"
66,17,2,C3C0330F5686,B,appearance,"short black occlusion covers words in the first body paragraph of the letter",0.99,false,"localized bar near the middle of the first sentence"
67,17,3,145386FA3725,A,content,"cross-reference words deleted from the sentence below References and Citations",0.98,false,"A contains separated numeric fragments; B has the complete Section and Equation wording"
68,17,4,4FFF1FCF57E3,B,content,"cells in the 'a biochemist' row are blanked near the bottom of the table",0.90,false,"A has a complete row; B shows conspicuous white gaps"
69,18,1,4A0B49B25EAB,abstain,unclear,"no reliably discernible defect in the algorithm page",0.20,true,"panels appear visually equivalent"
70,18,2,5687C08AD40C,abstain,unclear,"no reliably discernible defect in the dense table",0.20,true,"panels appear visually equivalent"
71,18,3,6D42480D0DEE,B,appearance,"large vertical black block covers an entire central table column",1.00,false,"obvious column occlusion"
72,18,4,89E06E850970,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
73,19,1,AAD44091C670,abstain,unclear,"no reliably discernible defect across the formula groups",0.20,true,"panels appear visually equivalent"
74,19,2,7874AA9514C1,abstain,unclear,"no reliably discernible defect across the formula groups",0.20,true,"panels appear visually equivalent"
75,19,3,68C8001E4247,abstain,unclear,"no reliably discernible defect in the table",0.20,true,"panels appear visually equivalent"
76,19,4,73B5E79A72C4,B,appearance,"black occlusion spans part of Expression 1",0.99,false,"bar visibly covers central equation symbols"
77,20,1,96A49DA704AF,abstain,unclear,"no reliably discernible defect in the compact table",0.20,true,"panels appear visually equivalent"
78,20,2,F34EB93FF329,abstain,unclear,"no reliably discernible defect in the extracted list",0.20,true,"panels appear visually equivalent"
79,20,3,4A5A241D12DE,A,content,"leading mathematical symbols are missing from Expression 1",0.84,false,"A begins with a bare equals sign while B retains the leading integral"
80,20,4,534FDB38807C,abstain,unclear,"no reliably discernible defect in the numeric table",0.20,true,"panels appear visually equivalent"
81,21,1,6E058B14C7C5,abstain,unclear,"no reliably discernible defect in the algorithm page",0.20,true,"panels appear visually equivalent"
82,21,2,644F7AD6A4EA,B,appearance,"large black occlusion covers a span in Extracted Prose 1",0.99,false,"bar visibly covers multiple words"
83,21,3,97C6355110A9,A,appearance,"large black block covers several Source-column entries in the middle of the date table",1.00,false,"obvious table-column occlusion"
84,21,4,58CE02EB0F7F,B,content,"cross-reference words deleted from the sentence below References and Citations",0.98,false,"B contains separated numeric fragments; A has the complete Section and Equation wording"
85,22,1,5780AF8E3B0A,B,content,"a feature row is missing in the lower-middle table, producing a blank and numbering jump from 31 to 33",0.90,false,"A retains the payment_webmoney row"
86,22,2,DAF98007D366,abstain,unclear,"no reliably discernible defect across the formula groups",0.20,true,"panels appear visually equivalent"
87,22,3,0BA387B9A10A,abstain,unclear,"no reliably discernible defect in the extracted list",0.20,true,"panels appear visually equivalent"
88,22,4,12FC342700BF,A,appearance,"large black block covers several middle rows of the Lie-brackets table",1.00,false,"obvious table-region occlusion"
89,23,1,D1483F7619C9,A,content,"one or more numeric cells and a row are missing around rows 24–25 of the table",0.91,false,"A has a conspicuous blank and numbering gap before row 26; B is continuous"
90,23,2,8E4E990016B9,B,appearance,"large horizontal black block covers several middle rows of the table",1.00,false,"obvious multi-row occlusion"
91,23,3,06D597A6960C,A,appearance,"black block covers parts of entries 8–12 in the Word type column",1.00,false,"obvious list-region occlusion"
92,23,4,85F14387D26C,B,appearance,"black block covers cells in the middle of the assay table",1.00,false,"obvious table-region occlusion"
93,24,1,96E819C90176,B,appearance,"black block covers central cells across several model rows",1.00,false,"obvious table-region occlusion"
94,24,2,ED766A65EDC7,A,content,"the phrase 'and wrapped' is missing from the introductory sentence under Extracted Lists",0.96,false,"A has an unnatural wide gap before 'for pdfLaTeX'; B contains the complete sentence"
95,24,3,1E0DE45F9F17,B,appearance,"black bar appears inside the figure placeholder",1.00,false,"A has an empty placeholder"
96,24,4,7E819A104971,abstain,unclear,"no reliably discernible defect in the dense table page",0.20,true,"panels appear visually equivalent"
97,25,1,2EC2626EE5DB,abstain,unclear,"no reliably discernible defect in the curriculum-vitae form",0.20,true,"panels appear visually equivalent"
98,25,2,29238438509B,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
99,25,3,1127684BD758,A,appearance,"small black square interrupts Expression 1",0.98,false,"visible occlusion within the first displayed formula"
100,25,4,D0981C131C85,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
101,26,1,AC5E7B469941,abstain,unclear,"no reliably discernible defect in the algorithm page",0.20,true,"panels appear visually equivalent"
102,26,2,615D94558E7C,A,appearance,"black bar covers words in the middle line of the German letter",0.99,false,"obvious prose occlusion"
103,26,3,5BD44E9D38F7,B,appearance,"black bar covers words in the Figure 2 caption",0.99,false,"obvious caption-text occlusion"
104,26,4,88A81AA6A74D,A,appearance,"black bar covers words in the introductory sentence below Extracted Lists",0.99,false,"obvious prose occlusion"
105,27,1,2C2D5D877557,A,content,"the words naming Section 1 and Equation 1 are deleted from the cross-reference sentence",0.98,false,"A shows separated numeric fragments; B contains the complete wording"
106,27,2,B8E4DDD72317,abstain,unclear,"no reliably discernible defect across the aligned formulas",0.20,true,"panels appear visually equivalent"
107,27,3,C3E791124580,abstain,unclear,"no reliably discernible defect in the algorithm page",0.20,true,"panels appear visually equivalent"
108,27,4,1888CC0AEDE5,B,appearance,"dark horizontal stroke crosses the first introductory line above the algorithm",0.85,false,"line-like occlusion is visible only in B"
109,28,1,094182458B12,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
110,28,2,4591E5C63AC8,A,appearance,"large horizontal black block covers the middle group of table rows",1.00,false,"obvious multi-row occlusion"
111,28,3,D8DA9354A606,B,appearance,"dark horizontal stroke crosses the introductory sentence above the algorithm",0.88,false,"line-like prose occlusion is visible only in B"
112,28,4,A1522BAB668F,abstain,unclear,"no reliably discernible defect across the aligned formulas",0.20,true,"panels appear visually equivalent"
113,29,1,7FD537847797,A,appearance,"black bar covers a phrase in the middle of the figure caption",0.99,false,"obvious caption-text occlusion"
114,29,2,173F53BFA424,B,appearance,"large vertical black block covers most of the AEDGA2 table column",1.00,false,"obvious column occlusion"
115,29,3,DDE46A9B0F5A,abstain,unclear,"no reliably discernible defect across the displayed formulas",0.20,true,"panels appear visually equivalent"
116,29,4,8EDA4A951C13,abstain,unclear,"no reliably discernible defect in the three-line mathematical list",0.20,true,"panels appear visually equivalent"
117,30,1,EE8046BAC32E,abstain,unclear,"no reliably discernible defect in the extracted list",0.20,true,"panels appear visually equivalent"
118,30,2,E4ED5BE6E92A,A,appearance,"black bar covers a short phrase in the abstract",0.99,false,"obvious prose occlusion"
119,30,3,CF5B7B802609,abstain,unclear,"no reliably discernible defect in the algorithm page",0.20,true,"panels appear visually equivalent"
120,30,4,B0C1F272F9DE,A,content,"most of one navigation instruction is deleted in the middle of the prompt list",0.98,false,"A has a large blank before the final word 'stop'; B contains the full tree instruction"
121,31,1,0BFDE723B47A,A,appearance,"black bar appears inside the figure placeholder",1.00,false,"B has an empty placeholder"
122,31,2,D06C59166AA0,abstain,unclear,"no reliably discernible defect across the displayed formulas",0.20,true,"panels appear visually equivalent"
123,31,3,676933622E3E,A,appearance,"black block covers symbols in Expression 2",0.99,false,"obvious formula occlusion"
124,31,4,55E1A2F30FDB,B,appearance,"black bar covers a short phrase in the abstract",0.99,false,"obvious prose occlusion"
125,32,1,F7007643E5A7,B,appearance,"black bar covers central symbols in Expression 5",0.99,false,"obvious formula occlusion"
126,32,2,0CF6FF5DAAAC,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
127,32,3,F5F758DCFED0,B,appearance,"black bar covers words in the first paragraph of the German letter",0.99,false,"obvious prose occlusion"
128,32,4,F5693C9E1608,A,content,"two consecutive table rows are missing around q23–q24",0.98,false,"A has a large blank between q22 and q25; B contains both rows"
129,33,1,F54759C9135A,A,appearance,"large horizontal black block covers several benchmark rows",1.00,false,"obvious table-region occlusion"
130,33,2,82B74055D251,B,appearance,"black bar covers a short phrase in the abstract",0.99,false,"obvious prose occlusion"
131,33,3,2CC985F5E549,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
132,33,4,D22CA4745A84,B,appearance,"black bar covers part of algorithm line 19",0.99,false,"obvious code-line occlusion"
133,34,1,5BCFB4961DD4,abstain,unclear,"no reliably discernible defect in the German letter",0.20,true,"panels appear visually equivalent"
134,34,2,09B5C3DAF47A,A,appearance,"large horizontal black block covers multiple middle table rows",1.00,false,"obvious multi-row occlusion"
135,34,3,0B6F91F95316,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
136,34,4,FEE727DF7894,A,appearance,"black bar covers a phrase in the abstract",0.99,false,"obvious prose occlusion"
137,35,1,F234BB4E1B02,A,appearance,"black bar covers words in the summary sentence below the figure caption",0.99,false,"obvious prose occlusion"
138,35,2,7570F3748EE5,abstain,unclear,"no reliably discernible defect in the parameter table",0.20,true,"panels appear visually equivalent"
139,35,3,7E86078D5DAE,A,content,"the phrase 'continue along' is deleted from the first extracted-list item",0.97,false,"A has a conspicuous gap before 'a simple loop'; B contains the complete instruction"
140,35,4,D52178896D3E,B,appearance,"black bar covers words in Extracted Prose 1",0.99,false,"obvious prose occlusion"
141,36,1,423A65BA02BE,abstain,unclear,"no reliably discernible defect across the displayed formulas",0.20,true,"panels appear visually equivalent"
142,36,2,B90515478061,abstain,unclear,"no reliably discernible defect across the aligned formulas",0.20,true,"panels appear visually equivalent"
143,36,3,FC20FBFA1382,B,content,"words are deleted near the start of the first extracted-list item",0.96,false,"B has a large gap between 'relation' and 'baxterized'; A contains the full phrase"
144,36,4,532BF0CE9A78,A,appearance,"black bar covers central symbols in Expression 3",0.99,false,"obvious formula occlusion"
145,37,1,60097A131FEA,abstain,unclear,"no reliably discernible defect across the aligned formulas",0.20,true,"panels appear visually equivalent"
146,37,2,40906FA6AC63,abstain,unclear,"no reliably discernible defect in the algorithm page",0.20,true,"panels appear visually equivalent"
147,37,3,632A83C7E833,abstain,unclear,"no reliably discernible defect in the German letter",0.20,true,"panels appear visually equivalent"
148,37,4,82B2D98EF075,abstain,unclear,"no reliably discernible defect in the algorithm page",0.20,true,"panels appear visually equivalent"
149,38,1,2D18D8E099A6,abstain,unclear,"no reliably discernible defect in the model-name table",0.20,true,"panels appear visually equivalent"
150,38,2,76024F1EF9A0,abstain,unclear,"no reliably discernible defect in the figure-placeholder page",0.20,true,"panels appear visually equivalent"
151,38,3,2578AD2945DA,abstain,unclear,"no reliably discernible defect in the figure-caption page",0.20,true,"panels appear visually equivalent"
152,38,4,5788B0666A3C,abstain,unclear,"no reliably discernible defect in the dense catalog table",0.20,true,"panels appear visually equivalent"
153,39,1,C5D6151C4FCF,A,appearance,"large vertical black block covers Model Architecture parameter names",1.00,false,"obvious table-column occlusion"
154,39,2,B6B1EBE29AD4,B,appearance,"black bar covers words in the description preceding Expression 2",0.99,false,"obvious prose occlusion"
155,39,3,9A7DC30A4F11,abstain,unclear,"no reliably discernible defect across the displayed formulas",0.20,true,"panels appear visually equivalent"
156,39,4,36C5A92ECDA0,B,content,"the phrase 'while replacing' is deleted from the summary sentence below the caption",0.97,false,"B has a wide gap before 'external graphics'; A contains the full sentence"
157,40,1,77357E3D3B21,B,appearance,"black bar covers a phrase in the abstract",0.99,false,"obvious prose occlusion"
158,40,2,6A8B0D9A5089,abstain,unclear,"no reliably discernible defect in the word-frequency list",0.20,true,"panels appear visually equivalent"
159,40,3,E3F25B56B09A,B,appearance,"black bar covers part of the abstract sentence",0.97,false,"short dark occlusion appears only in B"
160,40,4,9229752F77B7,A,content,"the value 0.018 is deleted from the Figure 1 caption",0.98,false,"A has a large gap after 'Sma'; B contains the value"
161,41,1,8E22CA170C6F,A,content,"multiple values are missing from the SN 2017cbv block in the middle of the table",0.98,false,"A has blank right-hand cells where B contains phase and photometric values"
162,41,2,6CEAAF5A51AB,abstain,unclear,"no reliably discernible defect across the aligned formulas",0.20,true,"panels appear visually equivalent"
163,41,3,DECAE825B190,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
164,41,4,BD1B554DEBD1,abstain,unclear,"no reliably attributable defect in the extracted paragraph",0.18,true,"minor text differences are too ambiguous to identify a changed panel without ground truth"
165,42,1,D524A9B3E522,B,appearance,"black bar covers a phrase in Extracted Prose 1",0.99,false,"obvious prose occlusion"
166,42,2,3E37680060CD,abstain,unclear,"no reliably discernible defect in the extracted list",0.20,true,"panels appear visually equivalent"
167,42,3,3CFF611FACDE,B,appearance,"black bar covers words in the abstract",0.99,false,"obvious prose occlusion"
168,42,4,F3D549C145FA,abstain,unclear,"no reliably discernible defect in the extracted list",0.20,true,"panels appear visually equivalent"
169,43,1,1CE73DF33B36,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
170,43,2,01B6EA172426,B,appearance,"black bar covers symbols in Expression 1",0.99,false,"obvious formula occlusion"
171,43,3,AE2498495509,abstain,unclear,"no reliably discernible defect in the curriculum-vitae form",0.20,true,"panels appear visually equivalent"
172,43,4,1971C985BB1F,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
173,44,1,0260355F1F7D,B,appearance,"black bar covers words in the abstract",0.99,false,"obvious prose occlusion"
174,44,2,E86379AD7C8B,A,appearance,"black bar covers part of Extracted Prose 2",0.99,false,"obvious prose occlusion"
175,44,3,82CE3B04F73D,B,appearance,"black bar covers words in Extracted Prose 2",0.99,false,"obvious prose occlusion"
176,44,4,395895013169,A,content,"the phrase 'document for' is deleted from the introductory sentence above the algorithm",0.97,false,"A has a wide gap before 'pdfLaTeX validation'; B contains the complete sentence"
177,45,1,70221A0292F6,A,content,"the words naming Section 1 and Equation 1 are deleted from the cross-reference sentence",0.98,false,"A shows isolated numeric fragments; B contains the complete wording"
178,45,2,363AC2E1FDF8,B,content,"one table row is missing around row 17",0.97,false,"B has a conspicuous blank between rows 16 and 18; A is continuous"
179,45,3,84D93DA0DBFF,abstain,unclear,"no reliably discernible defect across the aligned formulas",0.20,true,"panels appear visually equivalent"
180,45,4,AF7D192BA34A,B,content,"the primary Cologne row values are missing in the lower-middle table",0.96,false,"B retains only a partial subrow before Dortmund; A contains both Cologne rows"
181,46,1,CA44C4B96185,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
182,46,2,D8D3E8C34BFC,A,appearance,"black bar covers central symbols in Expression 4",0.99,false,"obvious formula occlusion"
183,46,3,5020CDF150BF,B,appearance,"large vertical black block covers generated text in the middle Competence row",1.00,false,"obvious table-cell occlusion"
184,46,4,3EE067D85F5F,A,appearance,"black bar appears inside the figure placeholder",1.00,false,"B has an empty placeholder"
185,47,1,35AE0BF3CD97,A,content,"the relation name and beginning of the died-in statement are missing in the middle table",0.96,false,"A retains only the tail 'in {e2}.' and its question; B has the complete died_in row"
186,47,2,DCB348446C8C,B,appearance,"black bar covers symbols in Expression 2",0.99,false,"obvious formula occlusion"
187,47,3,BF69D29000D6,abstain,unclear,"no reliably discernible defect in the long table",0.20,true,"panels appear visually equivalent"
188,47,4,4B9BBBBAE5DF,B,appearance,"black bar covers central symbols in Expression 3",0.99,false,"obvious formula occlusion"
189,48,1,1961C683CFBE,B,appearance,"black bar covers words in the first extracted-list item",0.99,false,"obvious prose occlusion"
190,48,2,016AA215C105,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
191,48,3,9C70DFEACE93,abstain,unclear,"no reliably discernible defect in the sparse letter page",0.20,true,"panels appear visually equivalent"
192,48,4,3F41BAB613C3,abstain,unclear,"no reliably discernible defect across the displayed formulas",0.20,true,"panels appear visually equivalent"
193,49,1,2E75E17AD31C,A,appearance,"black bar appears inside the figure placeholder",1.00,false,"B has an empty placeholder"
194,49,2,93BA98E4CC6E,B,appearance,"large black block appears inside the second figure placeholder",1.00,false,"obvious placeholder occlusion"
195,49,3,3CE5D34784B6,abstain,unclear,"no reliably discernible defect in the article page",0.20,true,"panels appear visually equivalent"
196,49,4,5B0E9ABD7056,B,appearance,"black bar covers symbols in Expression 2",0.99,false,"obvious formula occlusion"
197,50,1,23CE03874B51,B,appearance,"black bar covers words in Extracted Prose 1",0.99,false,"obvious prose occlusion near the end of the paragraph"
198,50,2,0DCC3B5AB08E,abstain,unclear,"no reliably discernible defect in the references page",0.20,true,"panels appear visually equivalent"
199,50,3,5E7814829994,B,appearance,"black bar covers words in the first body paragraph of the letter",0.99,false,"obvious prose occlusion"
200,50,4,0B2CDA15462E,A,content,"the words 'Random Surfaces and 2D' are missing from the abstract",0.98,false,"A has a wide gap between 'workshop on' and 'Quantum Gravity'; B contains the full phrase"
201,51,1,36BD3A834786,abstain,unclear,"no reliably discernible defect across the displayed formulas",0.20,true,"panels appear visually equivalent"
202,51,2,A3F5E018E0C0,B,appearance,"black bar covers part of the second line of the document title",0.99,false,"obvious title occlusion"
203,51,3,B235EFBA43F5,A,appearance,"black bar covers words in the closing figure-caption summary",0.99,false,"obvious prose occlusion below Figure 2"
204,51,4,F427287B3757,abstain,unclear,"no reliably discernible defect across the displayed formulas",0.20,true,"panels appear visually equivalent"
205,52,1,7745C632E662,abstain,unclear,"no reliably discernible defect in the dense table",0.20,true,"panels appear visually equivalent"
206,52,2,8175F76E3A30,abstain,unclear,"no reliably discernible defect in the references page",0.20,true,"panels appear visually equivalent"
207,52,3,5E1CCF9CD3AD,abstain,unclear,"no reliably discernible defect in the extracted formula list",0.20,true,"panels appear visually equivalent"
208,52,4,B5ACC546839A,abstain,unclear,"no reliably discernible defect in the figure-caption page",0.20,true,"panels appear visually equivalent"
