blind_index,case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes
0441,7DECF1C4EE6D,,unclear,No reliably visible difference on the compact paper page,0.10,true,Dense text and section geometry appear equivalent
0442,D56424E42D80,,unclear,No reliably visible difference in the algorithm block,0.10,true,Pseudocode lines and rules appear equivalent
0443,A2BA4810D299,A,content,Central terms missing from the Expression 5 formula,0.94,false,Panel A leaves a conspicuous gap between formula fragments
0444,BF39DCCC4498,B,content,Words missing within the lower Abstract Discussion paragraph,0.96,false,Panel B has conspicuous internal gaps in multiple lines
0445,1F6978FD8F51,,unclear,No reliably visible difference across abstract and extracted prose,0.10,true,Panels appear equivalent
0446,44DF2FC10CB3,,unclear,No reliably visible difference in references page,0.10,true,Text and spacing appear equivalent
0447,0FA91C7A6217,B,content,Missing cells in the middle of the observing table near 8 Apr 2022,0.94,false,Panel B contains a white gap with only trailing numeric values remaining
0448,B79B77F18C29,,unclear,No reliably visible difference in cross-reference page,0.10,true,Panels appear equivalent
0449,55FBE732F6C4,,unclear,No reliably visible difference in extracted list page,0.10,true,List text and formula placement appear equivalent
0450,5F8CEA792D59,,unclear,No reliably visible difference across abstract and prose sections,0.10,true,Panels appear equivalent
0451,4512A5DF040D,A,appearance,Short black occlusion within the first letter paragraph,0.99,false,Dark bar masks text near the center of the opening sentence
0452,A50A5086A25F,B,structure,Large black occlusion over middle rows of the numeric table,0.99,false,Multiple adjacent cells are hidden
0453,5F5E66FD95C2,,unclear,No reliably visible difference in the extracted list,0.10,true,List items appear equivalent
0454,0776C64752A5,B,appearance,Small black square at the left of Expression 2,0.99,false,High-contrast artifact masks the leading summation term
0455,1469FD74FE31,,unclear,No reliably visible difference in figure placeholder or caption,0.10,true,Panels appear equivalent
0456,F0F657930C45,,unclear,No reliably visible difference in the moderate table,0.10,true,Rows columns and rules appear equivalent
0457,7BC00056AAA3,A,appearance,Short black occlusion within the first letter paragraph,0.99,false,Dark bar masks text near the upper body
0458,E8EEF9FA93D8,B,structure,Thick black horizontal rule inserted after algorithm line 4,0.99,false,High-contrast rule disrupts the pseudocode structure
0459,8D38A683194A,A,appearance,Black horizontal occlusion across the middle of Expression 5,0.99,false,Formula content is visibly masked
0460,79ED38C682FD,B,appearance,Black horizontal occlusion inside Expression 2,0.99,false,Dark bar masks a central term in the aligned derivation
0461,FC53242A9EC4,B,structure,Black rectangle inside the figure placeholder near upper center,0.99,false,Visible corruption is confined to the figure region
0462,5DAC6ABA1F8F,A,structure,Very large black occlusion across the middle of the table,1.00,false,Many complete rows and columns are obscured
0463,4F1A129A194C,,unclear,No reliably visible difference in the sparse second-page formula,0.10,true,Panels appear equivalent
0464,27298FF19F65,,unclear,No reliably visible difference in the pseudocode block,0.10,true,Algorithm lines and rules appear equivalent
0465,9368FE52D8EF,A,appearance,Black horizontal occlusion across Expression 2,0.99,false,Dark bar masks a central formula term
0466,F4C646701A94,B,structure,Black rectangle inside the figure placeholder,0.99,false,Visible corruption is confined to the figure region
0467,42F579A77923,A,content,Model name and token value missing from the row between GPT-4 and Claude 3.5 Sonnet,0.96,false,Only the trailing cost remains on the otherwise blank row
0468,E7277905EC4F,B,content,Words missing from the bottom explanatory sentence under the figures,0.95,false,Panel B has a conspicuous gap before external graphics
0469,1499D7F5BB47,,unclear,No reliably visible difference on the compact paper page,0.10,true,Dense text formulas and section geometry appear equivalent
0470,29B182D008EC,,unclear,No reliably visible difference across the three figure placeholders and captions,0.10,true,Panels appear visually equivalent
0471,86F993934833,B,structure,Black rectangle over upper table cells around Activation and Attention,0.99,false,Several adjacent table cells are obscured
0472,D6A10E214802,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0473,F4D43B81E0BB,,unclear,No reliably visible difference on the compact Fusion Residues paper page,0.10,true,Dense prose formulas and section geometry appear equivalent
0474,8E6F4938959F,,unclear,No reliably visible difference in the extracted list page,0.10,true,Panels appear visually equivalent
0475,EA27C338C753,,unclear,No reliably visible difference in references and citations page,0.10,true,Text formula and spacing appear equivalent
0476,DD4CEED8838A,B,structure,Black rectangle over table rows 9 through 12 in the Word type column,0.99,false,Several adjacent table cells are obscured
0477,C7D32161CF97,,unclear,No reliably visible difference in the references page,0.10,true,Panels appear visually equivalent
0478,0AD384F54891,,unclear,No reliably visible difference in the extracted list page,0.10,true,List items and indentation appear equivalent
0479,9A04A9AB2D45,B,structure,Black rectangle over middle table cells around the SN 2017cbv and SN 2013dy sections,0.99,false,Multiple adjacent table entries are obscured
0480,77B720053188,A,appearance,Short black occlusion within Expression 1 near the constraint line,0.99,false,High-contrast bar masks a central formula term
0481,D2A69A51AD6A,,unclear,No reliably visible difference on the curriculum vitae page,0.10,true,Form labels and alignment appear equivalent
0482,22BA0BED25F0,B,content,References to Section 1 and Equation 1 are partially missing in the cross-reference sentence,0.96,false,Panel B has conspicuous gaps around the two numeral tokens
0483,8BB08188EF3F,A,appearance,Black horizontal occlusion in the middle of Extracted Prose 1,0.99,false,Dark bar masks part of a body-text line
0484,A28EF27B3D7B,,unclear,No reliably visible difference in the extracted numbered list,0.10,true,List content indentation and wrapping appear equivalent
0485,F37138C41F21,,unclear,No reliably visible difference on the three-section paper page,0.10,true,Dense prose and headings appear equivalent
0486,DCE3EFC7B649,,unclear,No reliably visible difference in the pseudocode block,0.10,true,Algorithm lines rules and annotations appear equivalent
0487,CD2F9C6780BE,,unclear,No reliably visible difference on the compact paper page,0.10,true,Dense text formulas and section geometry appear equivalent
0488,6117F2E8C4A7,A,appearance,Black horizontal occlusion within Expression 1,0.99,false,Dark bar masks formula terms in the upper display
0489,548C0BD6E47D,A,appearance,Short black occlusion within Expression 2,0.99,false,Dark bar masks a central formula term
0490,0E0E86D66C11,B,structure,Tall black occlusion over the C column through most table rows,1.00,false,A nearly full column of numeric cells is hidden
0491,2BDA047CFD07,,unclear,No reliably visible difference on the references page,0.10,true,Abstract cross references and bibliography appear equivalent
0492,0B4D373CDAE0,,unclear,No reliably visible difference in the source metadata and extracted prose,0.10,true,Panels appear visually equivalent
0493,334D6E39721E,,unclear,No reliably visible difference in the four-row prompt response table,0.10,true,Dense table text and layout appear equivalent
0494,A1EC9BF11B0E,A,content,Opening words Real Forms missing from the document title,0.98,false,Panel A title begins mid-phrase while Panel B has the complete title
0495,B4DEF0D6FD65,,unclear,No reliably visible difference on the references page,0.10,true,Panels appear visually equivalent
0496,6F19B915816E,A,structure,Black rectangle over table rows 9 through 12 in the Word type column,0.99,false,Several adjacent table cells are obscured
0497,490926B69769,A,structure,Column-header row missing at the top of the table,0.99,false,Panel A begins directly with data while Panel B labels Target magnitude and distance
0498,F5AF0206DCBC,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0499,FA3DDBBF09E0,A,content,References to Section 1 and Equation 1 are missing from the cross-reference sentence,0.98,false,Panel A has conspicuous gaps around the two numeral tokens
0500,2E6C5EEC8A4B,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0501,C82D50C3FBB0,B,appearance,Small black occlusion inside the sender surname at upper left,0.99,false,Dark bar masks several letters in Mustermann
0502,38B5AB84CF3C,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0503,64081133D3DF,B,structure,Large black occlusion over upper rows of the Statement Template column,0.99,false,Multiple adjacent table cells are obscured
0504,33220C53DB8F,,unclear,No reliably visible difference across the four mathematical expressions,0.10,true,Formula content and placement appear equivalent
0505,19E63E33F0EB,,unclear,No reliably visible difference in the source metadata and extracted prose,0.10,true,Panels appear visually equivalent
0506,62E2703F4AB7,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0507,9513005D2EC0,,unclear,No reliably visible difference in the extracted references list,0.10,true,List text indentation and wrapping appear equivalent
0508,6C468F1E5896,B,appearance,Black horizontal occlusion in the middle of Extracted Prose 1,0.99,false,Dark bar masks part of a body-text line
0509,AE5FC2F5E5C9,B,content,Opening words missing from the first body paragraph of the letter,0.98,false,Panel B begins with Jahr while Panel A begins Seit einem Jahr
0510,CA08FF90F595,A,appearance,Black horizontal occlusion inside the abstract,0.99,false,Dark bar masks text near the center of the abstract
0511,A367BEC42E19,,unclear,No reliably visible difference in figure placeholder or caption,0.10,true,Panels appear visually equivalent
0512,3056D61E4526,A,appearance,Black horizontal mark beneath the first title line,0.98,false,Dark artifact sits directly below boundary of the Mandelbrot set
0513,68761E053EE1,,unclear,No reliably visible difference across the two figure placeholders and captions,0.10,true,Panels appear visually equivalent
0514,3D51302F1729,B,appearance,Short black occlusion within Expression 1,0.99,false,Dark bar masks a central formula term
0515,BFA9C63BF020,A,appearance,Black horizontal occlusion in the middle of Extracted Prose 1,0.99,false,Dark bar masks part of a body-text line
0516,72AA62F47204,B,content,Words missing from the abstract around the regular inner horizon clause,0.96,false,Panel B has a conspicuous gap between metric and inner horizon
0517,649027C09E99,B,content,Ending words missing from the introductory list sentence,0.96,false,Panel B stops after wrapped for while Panel A continues with pdfLaTeX validation
0518,D269B5C1F59A,A,content,Words missing from the middle of Figure 2 caption,0.96,false,Panel A has a conspicuous gap before nonsimply-laced affine Toda theories
0519,7F1E657C26BB,B,appearance,Short black occlusion within Expression 4,0.99,false,Dark bar masks a central formula term
0520,5E4217AB4399,,unclear,No reliably visible difference in the extracted numbered list,0.10,true,List content indentation and wrapping appear equivalent
0521,1D3016A5BB78,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0522,3CB0BA7D721B,B,appearance,Short black mark under the introductory sentence above the algorithm,0.97,false,Dark artifact appears beneath extracted from near the upper center
0523,27AFE72427CA,A,structure,Tall black occlusion over central columns through most table rows,1.00,false,A large vertical block hides many table cells
0524,F77548FB0023,B,content,References to Section 1 and Equation 1 are missing from the cross-reference sentence,0.98,false,Panel B has conspicuous gaps around the two numeral tokens
0525,6CB93A7DA463,,unclear,No reliably visible difference across the three figure placeholders and captions,0.10,true,Panels appear visually equivalent
0526,6A0983E43282,,unclear,No reliably visible difference in the extracted list page,0.10,true,List content indentation and wrapping appear equivalent
0527,B0B7038D4F99,B,content,Opening command tokens missing from Extracted Prose 1,0.95,false,Panel B has a conspicuous gap after the initial numeric token on the first line
0528,395B94B20C4D,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0529,211F2DEA5956,A,appearance,Black horizontal occlusion within the Expression 2 description line,0.99,false,Dark bar masks text near the center of the sentence
0530,27D74DFB20CD,,unclear,No reliably visible difference in the dense astrophysical table,0.10,true,Rows columns and numeric values appear equivalent
0531,192FD8A7108A,,unclear,No reliably visible difference in the feature explanation table,0.10,true,Rows columns and text appear equivalent
0532,705520624BDC,B,structure,Large black rectangle over central table cells in the middle rows,0.99,false,Multiple adjacent expression and pattern cells are obscured
0533,AC5509B3193C,B,structure,Large black rectangle over central columns through most table rows,1.00,false,Many adjacent numeric cells are obscured
0534,4299F3A7A595,,unclear,No reliably visible difference on the compact three-section paper page,0.10,true,Dense prose formula and section geometry appear equivalent
0535,0CE65693FF9B,,unclear,No reliably visible difference on the German letter page,0.10,true,Letter text alignment and spacing appear equivalent
0536,FF4E0C3F24C2,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0537,34FAE1DFC0DD,A,appearance,Black horizontal occlusion inside the Introduction paragraph,0.99,false,Dark bar masks text near the center of the first section
0538,AE7EC501B83F,B,appearance,Black horizontal occlusion in the first extracted-list paragraph,0.99,false,Dark bar masks text near the middle of the upper prose block
0539,0B8EAB062892,A,appearance,Black horizontal occlusion within the first body paragraph of the letter,0.99,false,Dark bar masks text near the center of the paragraph
0540,8CB43FEC66EC,,unclear,No reliably visible difference on the references page,0.10,true,Abstract cross references and bibliography appear equivalent
0541,8DB3D0766BB9,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent
0542,CF97EB40F054,,unclear,No reliably visible difference in the full-page algorithm block,0.10,true,Pseudocode lines annotations and rules appear equivalent
0543,51F27F7F587F,B,structure,Large black rectangle over central columns through most table rows,1.00,false,Many adjacent language table cells are obscured
0544,43E0A696EAC4,,unclear,No reliably visible difference in the country port coordinate table,0.10,true,Rows columns and numeric values appear equivalent
0545,A782C97D315B,A,structure,Black rectangle over middle rows in the AEDGA2 column,0.99,false,Several adjacent numeric table cells are obscured
0546,F2A564A7F6A2,B,appearance,Black horizontal occlusion within Expression 1,0.99,false,Dark bar masks a central formula term
0547,3B779F3DBA53,A,appearance,Black horizontal occlusion within Expression 5,0.99,false,Dark bar masks the left branch of the displayed formula
0548,FEB2EBCCF748,B,structure,Black rectangle over middle rows in the alpha LP column,0.99,false,Several adjacent table values are obscured
0549,C30E282E635D,,unclear,No reliably visible difference on the references page,0.10,true,Abstract cross references and bibliography appear equivalent
0550,F7BC923F9C7A,A,structure,Tall black occlusion over the Exact at 20 percent column,1.00,false,Nearly the full metric column is hidden
0551,AA9AC9CEB434,B,appearance,Black horizontal occlusion within the final extracted-list paragraph,0.99,false,Dark bar masks text near the center of the paragraph
0552,DD22E780CAB9,A,appearance,Black horizontal occlusion within Expression 1,0.99,false,Dark bar masks a central portion of the formula
0553,77D47E26AF01,A,content,Most of the L1 row is missing directly below the table header,0.97,false,Panel A retains only a fragment while Panel B shows the complete first algebra row
0554,169B163665B7,B,structure,Thick black horizontal rule inserted across the algorithm input definitions,0.99,false,High-contrast rule disrupts the pseudocode block
0555,50ED1E1DDF03,,unclear,No reliably visible difference in the abstract and extracted prose,0.10,true,Dense text and section geometry appear equivalent
0556,5AA24D29C2E0,B,structure,Very large black occlusion across middle rows of the table,1.00,false,Several complete rows and all columns are obscured
0557,4CDC2CDC752C,B,structure,Tall black occlusion over the Type column through most table rows,1.00,false,Nearly the full categorical column is hidden
0558,4FDEE942B37A,A,structure,Black rectangle over feature names around rows 17 through 22,0.99,false,Several adjacent table entries are obscured
0559,8F87014B4696,B,appearance,Black horizontal occlusion within the Expression 2 description line,0.99,false,Dark bar masks text near the center of the sentence
0560,1870C5E5B55A,,unclear,No reliably visible difference in the extracted numbered list,0.10,true,List content indentation and wrapping appear equivalent
0561,CA26BDAD126C,,unclear,No reliably visible difference in the compact multilingual result table,0.10,true,Dense rows columns and values appear equivalent
0562,0EA9B52319FE,,unclear,No reliably visible difference in the Dutch word-frequency table,0.10,true,Rows words and counts appear equivalent
0563,3A68A7BE73B6,,unclear,No reliably visible difference in the dense numeric table,0.10,true,Rows columns and numeric values appear equivalent
0564,A96EC133A9BF,B,structure,Very large black occlusion across table rows 8 through 12,1.00,false,Several complete word-frequency rows are obscured
0565,5B5F234663A6,,unclear,No reliably visible difference on the compact three-section paper page,0.10,true,Dense prose formula and section geometry appear equivalent
0566,0AE159A3CCFE,A,structure,Very large black occlusion across the middle rows of the dataset table,1.00,false,Several complete rows and all columns are obscured
0567,E14F4EF92F81,,unclear,No reliably visible difference in the extracted numbered list,0.10,true,List content indentation and wrapping appear equivalent
0568,D23550A1A1F6,A,content,Words orderings for missing from the middle of Figure 1 caption,0.97,false,Panel A has a conspicuous gap after Two factor
0569,BCE7FD37D660,,unclear,No reliably visible difference in the extracted figure-description text,0.10,true,Panels appear visually equivalent
0570,F40FA8625632,B,appearance,Short black mark within the education and training instruction line,0.98,false,Dark artifact appears under you have near the right center
0571,A7DE95B6DB0B,,unclear,No reliably visible difference on the compact paper page,0.10,true,Dense prose formula and section geometry appear equivalent
0572,37ED2E85A8CA,B,appearance,Short black occlusion within Expression 2,0.99,false,Dark bar masks a central formula term
0573,369608E222DC,B,content,Words missing from the introductory sentence above the algorithm,0.97,false,Panel B has a conspicuous gap between from a and benchmark
0574,34A0F7E22F06,A,content,Words a minimal missing from the introductory sentence above the algorithm,0.97,false,Panel A has a conspicuous gap before article document
0575,B15AABBA0248,,unclear,No reliably visible difference on the sparse German letter page,0.10,true,Letter text alignment and spacing appear equivalent
0576,0B6B97E2E0B6,,unclear,No reliably visible difference across the two figure placeholders and captions,0.10,true,Panels appear visually equivalent
0577,0FAD10FBD532,,unclear,No reliably visible difference across the four mathematical expressions,0.10,true,Formula content and placement appear equivalent
0578,859EC154043E,B,content,Words missing from the abstract after Green-Schwarz string,0.96,false,Panel B has a conspicuous gap before Both are anomaly-free
0579,8FE677889ADB,A,appearance,Black horizontal occlusion within Expression 3,0.99,false,Dark bar masks a central formula term
0580,B6991D33AC0D,B,structure,Thick black horizontal rule inserted across the middle algorithm loop,0.99,false,High-contrast rule disrupts the pseudocode structure
0581,7ADB9689D0FA,B,appearance,Short black occlusion within the first displayed condition line,0.99,false,Dark bar masks a central formula term
0582,B79B8C8DEBC2,A,appearance,Black horizontal occlusion in the Conclusion paragraph,0.99,false,Dark bar masks text near the center of the section
0583,20B6E316913F,B,content,Row labels column names and units missing for rows 24 and 25,0.98,false,Only the trailing descriptions remain before row 26
0584,E8D8A81E045F,A,appearance,Black horizontal mark beneath the introductory sentence above the algorithm,0.98,false,Dark artifact runs under the upper prose line
0585,E1A0CAA88F2A,A,appearance,Black vertical occlusion beside the I am an line in the upper word list,0.99,false,High-contrast block interrupts the list near the upper center
0586,117A3F10741D,,unclear,No reliably visible difference in the figure placeholder or its captions,0.10,true,Panels appear visually equivalent at inspected resolution
0587,553C31BA1D54,A,content,Table rows 13 and 14 are missing between rows 12 and 15,0.99,false,Panel A has a conspicuous two-row gap in the upper half of the table
0588,618C4DCB3FCF,B,appearance,Black horizontal occlusion within Expression 2,0.99,false,Dark bar masks a central formula term
0589,D578A0232AF4,,unclear,No reliably visible difference in the abstract or extracted prose,0.10,true,Panels appear visually equivalent at inspected resolution
0590,942CAED1C2E9,A,appearance,Black horizontal occlusion in the fourth extracted list item,0.99,false,Dark bar masks text near the end of the lower list item
0591,2951E4B24741,,unclear,No reliably visible difference in the abstract references or equation,0.10,true,Panels appear visually equivalent at inspected resolution
0592,DCE9AD0DA543,A,appearance,Large black square occludes the middle of the algorithm,1.00,false,High-contrast block masks multiple central pseudocode lines
0593,C54361FBD881,,unclear,No reliably visible difference across the dense numerical table,0.10,true,Dense small values prevent a defensible panel choice
0594,920C78D65778,,unclear,No reliably visible difference in the figure placeholder or captions,0.10,true,Panels appear visually equivalent at inspected resolution
0595,88102DA56779,A,appearance,Black horizontal occlusion within Expression 2,0.99,false,Dark bar masks part of the second displayed formula
0596,E0FFE82D7E4F,,unclear,No reliably visible difference across the four aligned expressions,0.10,true,Formula content and placement appear equivalent at inspected resolution
0597,E50F1F9B91C4,B,appearance,Black horizontal occlusion across a lower algorithm line,0.99,false,Dark bar masks pseudocode near the bottom of the algorithm body
0598,F738214DBDC5,A,appearance,Black horizontal occlusion within Expression 5,0.99,false,Dark bar masks a central term in the final displayed formula
0599,4B75E23D73DA,,unclear,No reliably visible difference in the abstract or discussion text,0.10,true,Panels appear visually equivalent at inspected resolution
0600,317407C97F2F,A,appearance,Black horizontal occlusion in the middle letter paragraph,0.99,false,Dark bar masks words in the main body of the letter
0601,FA1AD0219B89,,unclear,No reliably visible difference in the abstract references or equation,0.10,true,Panels appear visually equivalent at inspected resolution
0602,A9EA03E47E0A,B,appearance,Large black square occludes central rows of the benchmark table,1.00,false,High-contrast block masks several benchmark names and values
0603,FBB62C372735,,unclear,No reliably visible difference in the abstract references or equation,0.10,true,Panels appear visually equivalent at inspected resolution
0604,81DF7FFDE13F,B,appearance,Black horizontal occlusion in the Method paragraph,0.99,false,Dark bar masks words in the center of the method text
0605,059DF904E7C8,,unclear,No reliably visible difference in the extracted prose sections,0.10,true,Panels appear visually equivalent at inspected resolution
0606,026976598FE2,,unclear,No reliably visible difference in the sparse letter page,0.10,true,Text content and placement appear equivalent at inspected resolution
0607,AA54EA8AAC06,B,content,Several numerical table rows are missing in the middle of the page,0.99,false,Panel B has a conspicuous multi-row gap after the 59605 entry
0608,F676CBC970FA,A,appearance,Black horizontal occlusion in the first extracted-prose block,0.99,false,Dark bar masks citation text near the page center
0609,A5305A15E2B1,A,appearance,Black horizontal occlusion within Expression 3,0.99,false,Dark bar masks a central formula term
0610,9C75A72FA30B,B,appearance,Black horizontal occlusion inside the figure placeholder,0.99,false,Dark bar appears in the otherwise empty upper figure box
0611,5A2DD4E38BE1,A,appearance,Large black square occludes the upper portion of the material-properties table,1.00,false,High-contrast block masks multiple cells near the table top
0612,F0A0AB7043CA,B,appearance,Black horizontal occlusion in the first extracted list item,0.99,false,Dark bar masks text and notation near the upper center
0613,419081433023,,unclear,No reliably visible difference across the algorithm page,0.10,true,Dense pseudocode appears equivalent at inspected resolution
0614,D39679A16D62,A,appearance,Black horizontal occlusion within Expression 5,0.99,false,Dark bar masks a central part of the final displayed formula
0615,861D62CD1391,B,appearance,Black horizontal occlusion within Expression 2,0.99,false,Dark bar masks a term in the long aligned expression
0616,D6C8827CC87B,,unclear,No reliably visible difference across the extracted list,0.10,true,Panels appear visually equivalent at inspected resolution
0617,A0B3A86617EA,A,content,Two wavelength rows are missing between 0.647 and 0.789,0.99,false,Panel A has a conspicuous two-row gap in the upper table
0618,E2EB9FA97D29,B,appearance,Black horizontal occlusion within Expression 5,0.99,false,Dark bar masks a term immediately before the matrix
0619,9BC25D180AD2,,unclear,No reliably visible difference across the algorithm page,0.10,true,Pseudocode content and placement appear equivalent at inspected resolution
0620,DF1622A643B4,,unclear,No reliably visible difference in the letter header or body,0.10,true,Panels appear visually equivalent at inspected resolution
0621,721ED14B66ED,,unclear,No reliably visible difference in the figure placeholders or captions,0.10,true,Panels appear visually equivalent at inspected resolution
0622,17AAFE7E291B,A,appearance,Large black square occludes central rows of the API model table,1.00,false,High-contrast block masks multiple model names and settings
0623,9927D241421B,B,appearance,Black square occludes the first figure caption,0.99,false,Dark block masks caption text between the two figure placeholders
0624,2260B97DC75D,A,appearance,Black horizontal occlusion in the text below the figure caption,0.99,false,Dark bar masks a phrase in the lower explanatory prose
0625,C44C2427CBFC,A,appearance,Black horizontal occlusion across the second line of the title,0.99,false,Dark bar masks the beta value in the upper title region
0626,2C900FEC14B5,,unclear,No reliably visible difference across the dense model-configuration table,0.10,true,Dense small text prevents a defensible panel choice
0627,43D81E1D29D0,A,content,Words are missing from the sentence introducing Expression 1,0.98,false,Panel A has a conspicuous gap between following and taken in the upper prose line
0628,CA8C133FFB1D,,unclear,No reliably visible difference across the five mathematical expressions,0.10,true,Formula content and placement appear equivalent at inspected resolution
