blind_id,sample_id,display_label,model_id,protocol_id,manual_content,manual_layout,manual_typography,manual_structure,manual_overall,manual_rank,manual_confidence,manual_notes,auto_content,token_precision,token_recall,auto_layout,layout_coverage,auto_typography,appearance_proxy,appearance_local_q10,nontext_score,auto_pagination,table_row_exact,table_column_exact,table_cell_ratio,formula_character_f1,scorecard_status,failed_gates,review_flags,diagnostic_flags,visual_core_mean,visual_core_floor,fidelity_core_floor,all_axis_mean,cv_grade_continuous_0_4,cv_grade_rounded_0_4
B-EE254,05_tables_simple_021,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,4.0,3.0,3.0,3.0,3.0,1.0,high,All three pages and table assignments are preserved; table scale and spacing still differ from the reference.,0.8881115025416715,0.8107302533532041,0.9395509499136442,0.7115357432620072,0.8107302533532041,0.7745370375521701,0.5203904754699136,0.0,0.31524806668989314,0.8844855064628456,0.0,1.0,0.7692307692307693,0.900592084761608,fail,token_precision;token_recall,low_page_sequence_alignment;table_structure_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.7901860957590077,0.7115357432620072,0.7115357432620072,0.7558120530577216,3.0,3
B-2B48D,05_tables_simple_023,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,4.0,3.0,3.0,3.0,3.0,2.0,medium,"Page count and table order are correct, but the second table is substantially smaller than the reference.",0.8819442720039363,0.8417132216014898,0.9617021276595744,0.5699748766024375,0.8417132216014898,0.6710790627182931,0.36078032970824814,0.0,0.042352495825722467,0.851459127483157,0.0,0.0,0.012121212121212121,0.9818181818181818,fail,token_precision,low_page_sequence_alignment;table_structure_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.6975043556012959,0.5699748766024375,0.5699748766024375,0.6670475337032145,2.0,2
B-3EF85,05_tables_simple_023,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,4.0,3.0,3.0,3.0,3.0,1.0,medium,"Page count and table order are correct; the first table is close, while the second remains substantially underscaled.",0.927517284721,0.8745318352059925,0.9936170212765958,0.5568251136551708,0.8745318352059925,0.6659630819164989,0.2687847579469435,0.0,0.07222002754495528,0.874643274132542,0.0,1.0,0.06666666666666667,1.0,fail,token_precision,low_page_sequence_alignment;appearance_layout_disagreement;table_structure_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.6991438232347372,0.5568251136551708,0.5568251136551708,0.6587467024744311,2.0,2
B-DD2B3,05_tables_simple_023,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,4.0,1.0,3.0,2.0,2.0,3.0,high,"The three-page reference is collapsed into two pages, moving the first table onto the introduction page despite preserving the rows.",0.8391746702257646,0.7804878048780488,0.8851063829787233,0.2560952343991004,0.7804878048780488,0.7760581070133301,0.04773013429760034,0.0,0.0,0.4903701569185756,0.0,0.0,0.0,0.5454545454545454,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;low_layout_correspondence_coverage;table_count_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.5075078327770021,0.2560952343991004,0.2560952343991004,0.48188566057087423,1.133070231921456,1
B-44FC0,06_tables_moderate_010,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,2.0,1.0,2.0,1.0,1.0,3.0,high,The two-page reference expands to three pages; the first table overflows and overlaps at the bottom before the second table is moved to page three.,0.8298220066333343,0.9247311827956989,0.8839941262848752,0.23811351058640906,0.8839941262848752,0.7332268928592394,0.04555778965333577,0.0,0.027560487266395605,0.5843785485727694,0.0,0.0,0.0,0.6153846153846153,fail,token_precision;token_recall;page_count,low_page_sequence_alignment;table_count_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.5185729840061393,0.23811351058640906,0.23811351058640906,0.48621974966101755,1.0,1
B-6DCD7,06_tables_moderate_010,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,4.0,3.0,3.0,4.0,3.0,2.0,high,"Both tables and page assignments are preserved, but the first-page material sits noticeably higher and denser than the reference.",0.9856707174366035,1.0,0.9955947136563876,0.6846435467908402,0.9955947136563876,0.7510536174564003,0.4036726586046606,0.0,0.243899181094182,0.9747213854500171,1.0,1.0,1.0,0.6153846153846153,review,,appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.8034728498990859,0.6846435467908402,0.6846435467908402,0.7599523851477044,2.9878953266155373,3
B-BE700,06_tables_moderate_010,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,4.0,4.0,3.0,4.0,4.0,1.0,high,Both tables and page assignments closely match; the remaining differences are small shifts in density and vertical placement.,0.9986536313649121,1.0,0.9970631424375918,0.8836058244549065,0.9970631424375918,0.8824827238017129,0.606026290366446,0.24918154057228126,0.24005309157181046,0.9840676531910814,0.0,0.0,0.0,0.6153846153846153,review,,appearance_layout_disagreement;table_count_mismatch,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.9167187338159003,0.8824827238017129,0.8824827238017129,0.8709672246358118,4.0,4
B-22DDF,07_figures_captions_007,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,3.0,3.0,2.0,3.0,2.0,3.0,high,"The placeholder and caption survive, but typography changes strongly and literal source-like math text is replaced by visibly different glyph rendering and wording.",0.8167527632494266,0.7866666666666666,0.8082191780821918,0.5447903600047997,0.7866666666666666,0.8862409838031686,0.036193083533354445,0.0,0.0074954572986069045,0.7568500155531777,,,,0.0,fail,token_precision;token_recall,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.7292937864537153,0.5447903600047997,0.5447903600047997,0.6081654412287854,2.2775860778866273,2
B-A63D1,07_figures_captions_007,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,4.0,4.0,4.0,4.0,4.0,1.0,high,"The title, section, placeholder, caption, and explanatory line closely match with only modest spacing differences.",0.9628954373800532,0.9583333333333334,0.9452054794520548,0.8999782251779623,0.9452054794520548,0.9114411666815181,0.7291349464572789,0.050566287242848826,0.43003415096220954,0.9467015205304714,,,,,fail,token_recall,,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.9193736374633174,0.8999782251779623,0.8999782251779623,0.8900302592454568,4.0,4
B-AA869,07_figures_captions_007,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,4.0,3.0,3.0,4.0,3.0,2.0,high,"All major elements are present, but the figure block is shifted upward and the caption alignment and wrapping differ.",0.9628954373800532,0.9583333333333334,0.9452054794520548,0.8349115763699202,0.9452054794520548,0.9112954749267209,0.37164773718033206,0.0,0.012944983818770227,0.9287602271514265,,,,,fail,token_recall,appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.8916557594826893,0.8349115763699202,0.8349115763699202,0.8019020906016905,3.8515942047362097,4
B-027FF,09_algorithms_003,Claude Opus 4.7 - agentic v3 visual medium,claude-opus-4-7,opus_agentic_v3_visual_medium,4.0,4.0,3.0,4.0,4.0,1.0,high,"The two-page structure, algorithm placement, and pseudocode block closely match; line density differs slightly.",0.9683753746253747,0.9736842105263158,0.9487179487179487,0.9186765315103922,0.9487179487179487,0.8715951786464636,0.6271837329527272,0.21371425709346806,0.15053676973181615,0.9706973951576646,,,,0.8550592525068369,fail,token_recall,appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.9203230351048401,0.8715951786464636,0.8715951786464636,0.8713056425785244,4.0,4
B-71DDC,09_algorithms_003,Claude Sonnet 4.6 - agentic v1 visual low,claude-sonnet-4-6,sonnet_agentic_v1_visual_low,4.0,3.0,3.0,4.0,3.0,2.0,high,"The two-page structure is preserved, but the algorithm block is smaller and more compressed than the reference.",0.9741719238439304,0.9790575916230366,0.958974358974359,0.7370029526883973,0.958974358974359,0.8035550367581569,0.5138939531755066,0.0,0.0,0.9623216382596789,,,,0.8550592525068369,pass,,,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.834293209235411,0.7370029526883973,0.7370029526883973,0.7981891009451341,3.0,3
B-B26D0,09_algorithms_003,Gemini 3.1 Flash Lite - one-turn cascade,google/gemini-3.1-flash-lite,gemini_prompt_stage_cascade,3.0,1.0,3.0,2.0,2.0,3.0,high,"The two-page reference is collapsed into one page, the algorithm is moved into the article page, and its label changes to a figure caption.",0.8197550447264406,0.9591836734693877,0.7230769230769231,0.32090212613980784,0.7230769230769231,0.847798803752499,0.05513260249899758,0.0,0.0,0.35990307252736814,,,,0.7980861244019138,fail,token_recall;page_count,low_page_sequence_alignment;low_layout_correspondence_coverage;appearance_layout_disagreement,numeric_token_mismatch;localized_appearance_failure;nontext_structure_mismatch,0.5095346674732251,0.32090212613980784,0.32090212613980784,0.4806983299290226,2.0,2
